gabormean_0_0otsu1,gaborSD_0_0otsu1,gabormean_0_1otsu1,gaborSD_0_1otsu1,gabormean_0_2otsu1,gaborSD_0_2otsu1,gabormean_1_0otsu1,gaborSD_1_0otsu1,gabormean_1_1otsu1,gaborSD_1_1otsu1,gabormean_1_2otsu1,gaborSD_1_2otsu1,gabormean_2_0otsu1,gaborSD_2_0otsu1,gabormean_2_1otsu1,gaborSD_2_1otsu1,gabormean_2_2otsu1,gaborSD_2_2otsu1,gabormean_3_0otsu1,gaborSD_3_0otsu1,gabormean_3_1otsu1,gaborSD_3_1otsu1,gabormean_3_2otsu1,gaborSD_3_2otsu1,gabormean_0_0otsu2,gaborSD_0_0otsu2,gabormean_0_1otsu2,gaborSD_0_1otsu2,gabormean_0_2otsu2,gaborSD_0_2otsu2,gabormean_1_0otsu2,gaborSD_1_0otsu2,gabormean_1_1otsu2,gaborSD_1_1otsu2,gabormean_1_2otsu2,gaborSD_1_2otsu2,gabormean_2_0otsu2,gaborSD_2_0otsu2,gabormean_2_1otsu2,gaborSD_2_1otsu2,gabormean_2_2otsu2,gaborSD_2_2otsu2,gabormean_3_0otsu2,gaborSD_3_0otsu2,gabormean_3_1otsu2,gaborSD_3_1otsu2,gabormean_3_2otsu2,gaborSD_3_2otsu2,gabormean_0_0otsu3,gaborSD_0_0otsu3,gabormean_0_1otsu3,gaborSD_0_1otsu3,gabormean_0_2otsu3,gaborSD_0_2otsu3,gabormean_1_0otsu3,gaborSD_1_0otsu3,gabormean_1_1otsu3,gaborSD_1_1otsu3,gabormean_1_2otsu3,gaborSD_1_2otsu3,gabormean_2_0otsu3,gaborSD_2_0otsu3,gabormean_2_1otsu3,gaborSD_2_1otsu3,gabormean_2_2otsu3,gaborSD_2_2otsu3,gabormean_3_0otsu3,gaborSD_3_0otsu3,gabormean_3_1otsu3,gaborSD_3_1otsu3,gabormean_3_2otsu3,gaborSD_3_2otsu3,gabormean_0_0otsu4,gaborSD_0_0otsu4,gabormean_0_1otsu4,gaborSD_0_1otsu4,gabormean_0_2otsu4,gaborSD_0_2otsu4,gabormean_1_0otsu4,gaborSD_1_0otsu4,gabormean_1_1otsu4,gaborSD_1_1otsu4,gabormean_1_2otsu4,gaborSD_1_2otsu4,gabormean_2_0otsu4,gaborSD_2_0otsu4,gabormean_2_1otsu4,gaborSD_2_1otsu4,gabormean_2_2otsu4,gaborSD_2_2otsu4,gabormean_3_0otsu4,gaborSD_3_0otsu4,gabormean_3_1otsu4,gaborSD_3_1otsu4,gabormean_3_2otsu4,gaborSD_3_2otsu4,ImageName
18.962848,26.778117,12.595201,28.265085,170.687307,61.236609,44.530960,22.271992,91.764706,41.180832,54.434211,26.336549,28.241486,30.638426,18.294118,37.435721,172.780960,60.979603,49.630805,25.989644,80.667957,40.063858,55.066563,30.068709,18.969216,27.731539,11.686567,28.838303,189.710821,47.450838,45.252799,20.610851,95.111007,36.749966,56.990672,26.020173,26.444030,28.245004,15.482276,32.919187,191.695896,47.308934,52.651119,26.018551,84.321828,38.726193,58.861007,30.204598,15.092486,11.126618,6.761850,10.141187,208.070520,29.531110,46.794220,16.456219,98.731792,31.555062,59.694798,24.229359,22.765318,20.670569,11.351445,20.944237,210.252023,28.204713,54.794220,23.668314,84.728324,35.103800,61.704046,28.432674,14.024320,6.705062,6.361946,4.499511,219.497854,16.573564,49.108727,14.577711,99.625179,24.723914,63.589413,22.893711,19.486409,11.450192,10.060086,12.085268,221.387697,15.264710,55.795422,23.354431,81.051502,25.618206,64.037196,28.681260,4.dcm
16.782946,30.775857,13.042636,31.050008,89.246770,26.435204,20.890181,21.633656,29.993540,26.136693,19.145995,22.630633,12.447028,25.142629,7.737726,26.107246,107.372093,28.701678,20.680879,21.177625,20.573643,26.638379,22.276486,24.233631,22.910526,40.287324,18.857895,40.363334,105.105263,26.102285,23.136842,25.690202,32.931579,30.953034,22.626316,28.305949,13.163158,30.404567,7.521053,31.157987,124.057895,26.112843,20.273684,20.052407,25.115789,35.642497,21.526316,21.967278,108.263158,75.800836,99.789474,79.046397,160.394737,44.761554,68.052632,59.110957,80.105263,73.393714,79.000000,61.174982,49.815789,80.582291,48.578947,81.864302,165.289474,43.454797,46.789474,49.747013,83.526316,88.617226,51.657895,58.630440,153.857143,69.452347,144.904762,74.105266,179.952381,42.923742,86.619048,74.125216,103.333333,88.755469,99.000000,76.047354,78.000000,95.780478,78.523810,96.349167,179.523810,45.173686,63.285714,58.257311,128.761905,93.460101,72.761905,68.506864,75.dcm
38.032922,41.704477,26.641975,44.633579,158.683128,62.853516,52.917695,39.605615,68.683128,47.636303,49.958848,28.700332,30.728395,43.547451,22.572016,44.171599,158.526749,62.255292,53.502058,41.570251,75.814815,48.849603,40.288066,31.165370,37.862069,42.858282,23.911330,43.637367,177.384236,49.725386,48.344828,37.465883,67.729064,47.979270,48.408867,27.174451,31.546798,46.794807,21.359606,46.753871,177.192118,48.772025,53.458128,41.856686,77.610837,49.629631,42.610837,32.597171,32.395062,33.142148,19.166667,35.179796,194.117284,40.596084,42.487654,33.351364,62.469136,40.161347,47.450617,28.288016,32.308642,50.174018,23.117284,50.871216,193.604938,39.881402,51.820988,39.769976,72.401235,46.655931,44.487654,33.546896,24.475410,14.062560,10.647541,9.898595,212.147541,26.283474,34.918033,18.446523,55.418033,30.029418,42.614754,14.237331,19.352459,21.787828,9.811475,17.960163,211.647541,25.306362,43.729508,26.239216,64.081967,37.233370,38.622951,16.953182,118.dcm
59.432886,41.677204,30.411633,28.793673,150.460850,64.637036,103.151007,46.711890,85.307606,45.677780,121.195749,50.617539,30.057047,28.098453,11.561521,26.162729,150.920582,65.149835,84.803132,41.005522,86.901566,43.527152,113.797539,51.514992,61.490033,43.675601,29.209302,22.525032,185.644518,46.713378,112.892027,45.200754,94.887043,40.741471,139.712625,45.317833,28.749169,22.905620,9.740864,20.659331,185.626246,49.111014,92.774086,40.580260,98.132890,41.728569,129.327243,48.224940,51.189011,29.849319,26.826374,18.863834,207.252747,27.861360,117.173626,43.936310,99.327473,37.624513,151.283516,41.022139,27.338462,13.263666,7.615385,4.317695,208.410989,28.975690,96.149451,37.988749,102.184615,38.308293,139.542857,44.698375,47.773639,24.825084,26.498567,18.371271,219.212034,17.457363,120.134670,42.249555,97.590258,32.705865,158.381089,40.779908,25.836676,11.862925,7.939828,4.287021,220.684814,18.188613,99.730659,36.411232,102.280802,32.051435,147.641834,42.059694,134.dcm
82.173653,59.099567,44.095808,65.572386,126.377246,60.202131,72.736527,41.602856,122.544910,56.893444,52.628743,36.471228,61.898204,44.808916,29.227545,50.036213,127.161677,58.288989,40.221557,29.049480,123.143713,55.675726,35.862275,27.160149,69.547826,44.604154,20.591304,30.501336,155.217391,48.410123,72.156522,40.019204,134.956522,57.742227,52.104348,29.830919,59.330435,35.397175,21.547826,38.681163,154.321739,47.577185,34.069565,20.991946,130.869565,56.189766,30.243478,17.416261,59.815789,37.796900,12.407895,12.379744,181.815789,33.925295,69.210526,41.540443,129.118421,59.611401,50.881579,28.949596,52.631579,21.402082,12.789474,10.386293,180.026316,33.719222,29.565789,19.221055,130.657895,57.821461,27.144737,16.488140,51.177778,33.915194,9.711111,6.122322,204.377778,21.579966,63.644444,38.072393,117.000000,53.353453,49.022222,25.029518,45.977778,16.454467,12.266667,9.068928,202.422222,21.709329,29.622222,17.781871,130.844444,60.203804,27.111111,15.077410,143.dcm
103.630769,66.394081,74.123077,72.925156,123.523077,62.244505,83.138462,48.902606,111.123077,60.840855,82.846154,53.867381,62.138462,67.528901,54.953846,66.418755,114.938462,60.068158,102.000000,72.930832,112.107692,75.712681,80.492308,50.768815,113.000000,66.543970,69.219512,65.938044,156.926829,47.390078,80.439024,43.968198,130.829268,63.130778,72.317073,42.647649,82.951220,74.291975,60.707317,76.750649,146.365854,50.296002,117.756098,70.849411,146.682927,70.408252,94.146341,55.444820,136.080000,57.976949,66.200000,68.192742,172.360000,44.685829,96.800000,43.831115,159.880000,58.918248,77.200000,47.977425,120.040000,72.314982,89.520000,85.716160,174.000000,36.884956,139.160000,74.635604,189.800000,43.204938,115.000000,59.011298,118.636364,60.279802,47.545455,29.313354,193.090909,26.242921,87.727273,31.600921,159.181818,64.002841,65.363636,37.256604,158.090909,64.596369,123.454545,85.379580,198.909091,27.511650,161.363636,59.793432,215.818182,31.880459,125.727273,37.491575,175.dcm
57.419355,57.793740,63.467742,71.105951,119.403226,46.032227,43.612903,45.985513,125.080645,39.767891,55.258065,48.985758,63.741935,65.235245,77.854839,80.437094,117.580645,47.539302,75.306452,44.571397,145.290323,52.229439,51.161290,40.998278,50.311111,53.679106,54.244444,67.977655,138.622222,37.686680,32.644444,26.510852,129.444444,25.399137,43.800000,30.218598,52.555556,58.249680,62.577778,73.171495,136.800000,38.642652,62.355556,32.470375,158.688889,42.213108,42.533333,27.842577,38.517241,24.628121,41.793103,48.611712,160.137931,26.853736,27.517241,22.784112,132.931034,22.285375,40.551724,26.298542,34.000000,24.972842,38.413793,45.298626,158.655172,26.110036,59.724138,31.122909,158.172414,45.206723,40.586207,22.621919,34.142857,20.391767,24.857143,27.859143,183.785714,14.148545,22.857143,18.637667,129.428571,18.776885,34.785714,20.725972,26.428571,8.271492,13.642857,18.578760,181.857143,12.452106,53.500000,26.832099,141.000000,46.450967,36.071429,21.836682,179.dcm
60.105263,71.346159,56.614035,76.057017,128.333333,55.199099,34.473684,43.661075,75.263158,41.979811,31.122807,43.511522,61.754386,70.158565,62.000000,72.973576,128.719298,56.005661,49.631579,54.099654,64.210526,51.669187,56.736842,57.381096,79.368421,78.788949,76.500000,84.632033,155.657895,43.106578,41.631579,51.711477,93.631579,36.593029,36.184211,51.942721,78.605263,80.205324,78.394737,83.911646,156.578947,42.110300,64.421053,60.823018,78.052632,57.487459,71.921053,64.747903,91.400000,85.485379,90.120000,91.474186,173.440000,35.817919,53.600000,60.299254,98.680000,43.051055,46.000000,61.830413,98.840000,87.500800,99.560000,90.483000,175.840000,32.409721,85.160000,66.035142,96.000000,62.454650,94.880000,69.464811,115.166667,83.243163,120.750000,84.441615,173.416667,33.792033,86.083333,73.694034,102.083333,59.411444,78.083333,77.972557,137.583333,84.981772,141.416667,83.468512,176.333333,32.393415,136.166667,59.843483,137.666667,65.108767,149.250000,60.187774,184.dcm
78.054545,41.641951,38.454545,56.861434,129.036364,52.880674,61.272727,40.532218,130.509091,49.479631,57.681818,37.877381,62.227273,52.078216,51.754545,66.939818,131.563636,53.789349,94.927273,51.891508,130.572727,46.504505,95.536364,47.875541,75.407895,35.957448,23.644737,32.967743,155.118421,41.051826,54.657895,36.566124,137.131579,41.465276,51.236842,30.867402,50.092105,18.253896,31.105263,38.159867,157.802632,41.459062,95.960526,49.149416,141.171053,43.406110,93.802632,46.113778,76.117647,35.229333,16.470588,19.969329,177.078431,30.756361,51.568627,30.436987,140.215686,35.129084,48.117647,28.056833,51.607843,17.111491,17.274510,21.021968,179.745098,30.669753,91.215686,41.790101,140.411765,45.593059,88.117647,40.756667,69.320000,30.891908,14.760000,12.373628,204.160000,16.410566,46.160000,29.296871,133.600000,24.971651,44.480000,26.364623,52.040000,14.084507,8.520000,6.021628,205.840000,16.737383,79.280000,33.056164,124.960000,42.072834,76.120000,31.009837,195.dcm
73.505155,58.862326,61.154639,72.078421,117.742268,50.376143,66.432990,42.563655,136.958763,53.644066,64.412371,44.835289,59.371134,57.103583,42.412371,64.861512,128.103093,52.494342,47.030928,39.910696,109.041237,52.715217,44.958763,39.568221,76.583333,59.484108,56.583333,74.045047,134.458333,44.355776,59.652778,32.550355,151.111111,47.900882,60.027778,37.227875,57.819444,61.055349,39.458333,67.730189,146.583333,44.667394,37.638889,24.427130,111.930556,46.022446,33.875000,23.681536,66.448980,49.799624,36.122449,57.688327,152.000000,37.502778,55.489796,34.737781,167.489796,40.883025,58.061224,40.103724,61.061224,63.906314,41.387755,70.307306,164.306122,38.374907,30.244898,17.093530,111.142857,45.292107,28.775510,18.866047,66.681818,30.169973,18.590909,27.453266,176.500000,27.854640,47.227273,31.565400,186.909091,37.462247,54.454545,34.310525,43.636364,39.605850,29.454545,42.102740,188.500000,25.939031,29.318182,13.375124,99.227273,48.078242,28.863636,13.530549,197.dcm
