angular_Second_Momentotsu1,Contrastotsu1,Correlationotsu1,SoSVarianceotsu1,inverse_Diff_Momentotsu1,sum_Averageotsu1,sum_Varianceotsu1,sum_Entropyotsu1,Entropyotsu1,diff_Varianceotsu1,diff_Entropyotsu1,info_M_Correlation_1otsu1,info_M_Correlation_2otsu1,angular_Second_Momentotsu2,Contrastotsu2,Correlationotsu2,SoSVarianceotsu2,inverse_Diff_Momentotsu2,sum_Averageotsu2,sum_Varianceotsu2,sum_Entropyotsu2,Entropyotsu2,diff_Varianceotsu2,diff_Entropyotsu2,info_M_Correlation_1otsu2,info_M_Correlation_2otsu2,angular_Second_Momentotsu3,Contrastotsu3,Correlationotsu3,SoSVarianceotsu3,inverse_Diff_Momentotsu3,sum_Averageotsu3,sum_Varianceotsu3,sum_Entropyotsu3,Entropyotsu3,diff_Varianceotsu3,diff_Entropyotsu3,info_M_Correlation_1otsu3,info_M_Correlation_2otsu3,angular_Second_Momentotsu4,Contrastotsu4,Correlationotsu4,SoSVarianceotsu4,inverse_Diff_Momentotsu4,sum_Averageotsu4,sum_Varianceotsu4,sum_Entropyotsu4,Entropyotsu4,diff_Varianceotsu4,diff_Entropyotsu4,info_M_Correlation_1otsu4,info_M_Correlation_2otsu4,ImageName
0.00080792,12994.5449,361561056052.2298,748070.6683,0.025957,1631.672,2944766.0949,6.4536,7.1299,6.7766e-06,5.1132,-0.82017,0.99998,0.00097422,11619.0044,292012436307.616,872628.9928,0.030006,1817.487,3429534.8305,6.1984,6.9443,8.0729e-06,4.9697,-0.79278,0.99995,0.0012092,8138.3369,220761864462.0158,994750.9536,0.035515,1972.0181,3911595.2524,5.8726,6.7305,1.0489e-05,4.7032,-0.74705,0.99984,0.0015063,3904.2736,164066545403.0801,1067120.2646,0.041057,2053.6291,4206330.5816,5.5194,6.5133,1.4176e-05,4.3414,-0.69558,0.99956,4.dcm
0.0013207,11200.0728,78738272189.6835,162967.259,0.019876,671.6959,568410.0705,5.9943,6.6331,4.7932e-06,4.7589,-0.81266,0.99995,0.0026682,17337.2131,72095777443.4646,251010.9581,0.017781,825.8153,858238.8238,5.4975,5.9295,5.0857e-06,4.6753,-0.84329,0.99992,0.02709,141878.6676,68392270538.139,1213081.5395,0.001897,1619.5646,3690485.4016,3.562,3.6098,1.374e-05,3.5347,-0.98948,0.99957,0.05042,249263.18,64983612111.4663,2060860.1654,0.00019391,2278.0413,6231756.6448,2.9917,2.9917,2.5071e-05,2.9383,-1,0.99872,75.dcm
0.0043299,29048.6019,66717752307.9339,587487.4941,0.050938,1404.2964,2300440.9131,5.1431,5.4497,1.443e-05,4.5716,-0.89433,0.99993,0.0051898,30089.0968,58246649828.7494,694062.705,0.058922,1597.2278,2709883.2013,4.9199,5.2701,1.806e-05,4.3618,-0.86881,0.99985,0.0065468,18742.9085,46616381273.7156,817974.0871,0.072009,1770.4558,3163893.1851,4.6077,5.0399,2.6138e-05,3.9866,-0.82422,0.99958,0.0085662,9593.3648,33617183467.6737,882666.2931,0.089868,1850.0574,3419889.1548,4.2416,4.7745,3.7917e-05,3.5733,-0.75521,0.99868,118.dcm
0.0011442,12155.8868,216598016172.9091,457069.4805,0.022188,1219.4919,1793755.1612,6.3247,6.7776,7.0869e-06,5.1052,-0.86807,0.99999,0.0017007,12573.0878,161137421631.473,637164.8707,0.025726,1536.82,2496499.0377,5.9125,6.3829,8.5723e-06,4.9637,-0.85889,0.99997,0.0022582,9209.3038,116561091229.9566,764905.851,0.03045,1722.1313,2994497.2072,5.5474,6.1013,1.1667e-05,4.6825,-0.81742,0.9999,0.002968,3984.5494,82686741269.8041,835217.0669,0.036838,1812.9362,3281815.3755,5.1849,5.8302,1.6576e-05,4.3088,-0.76673,0.99968,134.dcm
0.0065642,25917.3974,44861233357.7953,347604.6159,0.0074902,1029.3445,1346623.6088,4.955,5.0276,1.0311e-05,4.6527,-0.96893,0.99996,0.008869,27554.2968,42711875965.3352,458486.225,0.0086454,1253.8208,1758611.7556,4.6746,4.7265,1.2736e-05,4.4437,-0.97139,0.99993,0.013244,21183.9112,35913535636.3886,611849.6166,0.01173,1502.0954,2323056.1637,4.2715,4.3262,1.8223e-05,4.1004,-0.96513,0.99984,0.022469,11685.2778,23547264512.0016,739482.6202,0.014039,1676.2333,2819027.6191,3.7296,3.799,3.2767e-05,3.5467,-0.94044,0.99945,143.dcm
0.017296,105180.8515,42798492240.3101,478534.2022,0.015121,1018.9802,1829371.3363,4.0503,4.0617,1.0647e-05,3.9795,-0.9839,0.99982,0.026481,158147.0071,42165310305.18,723911.9034,0.015194,1402.3629,2767407.5762,3.626,3.6345,1.5356e-05,3.6062,-0.97969,0.99958,0.046316,230484.7474,41250691449.7148,1193605.1993,0.00088887,1960.9337,4458155.2416,3.0817,3.0817,2.678e-05,3.0634,-1,0.99891,0.10795,267243.6676,27914410369.4175,2070128.9252,0.00062533,2563.5938,6870932.0994,2.2387,2.2387,6.1015e-05,2.2387,-1,0.99401,175.dcm
0.017268,7758.8437,1876851809.2637,74780.7755,0.013071,486.8094,283032.0874,4,4.0596,4.0139e-05,3.9351,-0.9791,0.9998,0.023306,8984.5228,1767355053.7295,95991.8982,0.011361,574.826,361811.7509,3.7132,3.7601,5.3358e-05,3.6709,-0.98286,0.99967,0.034483,8822.9397,1575248828.7702,125406.3759,0.0048125,666.0948,462320.7237,3.3553,3.3673,7.5351e-05,3.3314,-0.9929,0.99938,0.071429,6737.6786,977876409.9727,168562.5674,0.0047361,771.4643,601734.4302,2.6143,2.6391,0.00015314,2.6391,-1,0.99745,179.dcm
0.019216,14256.1983,8794241641.9214,213032.91,0.011204,718.0811,794129.457,3.9449,3.9571,2.5383e-05,3.7718,-0.97223,0.99975,0.029287,19449.6757,9514448947.2453,320452.6783,0.0019317,1009.0598,1203532.4332,3.5358,3.5358,3.7363e-05,3.3944,-0.99248,0.99955,0.046316,18232.8416,8612379468.8472,451942.3637,0.0019641,1271.0205,1696091.8995,3.0817,3.0817,5.9489e-05,2.9489,-1,0.99891,0.10417,6522.125,5364975856.9324,597889.769,0.0024971,1523.1667,2331079.2641,2.2822,2.2822,0.00011998,2.2244,-1,0.99434,184.dcm
0.0094169,17916.7555,17256903608.1647,211610.8359,0.0090624,804.6636,814123.2711,4.6129,4.6655,1.4789e-05,4.4088,-0.97655,0.99994,0.013158,20194.023,16382453696.6367,284401.5906,0.0047346,984.0362,1083656.1423,4.2897,4.3307,1.8762e-05,4.1751,-0.98183,0.99989,0.019608,17955.1078,13911608119.8013,376211.0962,0.0062538,1167.0686,1420844.4244,3.8843,3.9318,2.6451e-05,3.8273,-0.97713,0.99974,0.04,11057.46,8767667903.3801,499702.2779,0.011868,1374.62,1900662.3444,3.205,3.2189,4.9776e-05,3.1911,-0.96478,0.99885,195.dcm
0.011545,12638.8826,6849043485.8226,134075.9448,0.012976,656.7277,517073.0882,4.4229,4.4623,2.3435e-05,4.2189,-0.97467,0.9999,0.015173,13105.61,6283556219.4964,171069.5866,0.013805,771.3347,649889.3093,4.1525,4.189,3.0583e-05,3.9635,-0.96835,0.99983,0.021315,13364.4425,5461382766.1855,215565.3593,0.013689,882.333,807749.8052,3.8049,3.8492,3.936e-05,3.7015,-0.96507,0.99966,0.045455,11491.6932,3378245851.9731,289853.9972,0.0098513,1017.0568,1045194.1707,3.091,3.091,7.7867e-05,3.028,-0.9793,0.99871,197.dcm
0.012922,14805.2825,8340111966.8885,168635.4125,0.0097891,732.3196,647321.6206,4.2814,4.3496,2.3466e-05,4.149,-0.98126,0.99989,0.016557,16462.4536,8023275259.8029,209835.8193,0.0063049,849.569,799463.598,4.0383,4.1018,2.8822e-05,3.9474,-0.98586,0.99983,0.023268,16499.7256,7120729959.7064,268173.2141,0.0085996,979.5141,1002122.8777,3.6975,3.7609,3.9997e-05,3.6344,-0.98281,0.99969,0.05,12679.0125,4489208152.4993,363897.3472,0.011993,1148.6625,1329015.4181,2.9437,2.9957,7.9381e-05,2.9437,-1,0.99875,203.dcm
0.0032818,11412.6305,76545307988.9102,311139.2504,0.012235,1009.0857,1212854.9933,5.5749,5.7194,8.4444e-06,4.8791,-0.94307,0.99998,0.0046845,11393.411,71506131651.2666,420303.0334,0.0088611,1240.3551,1631158.567,5.2208,5.3636,1.0117e-05,4.7016,-0.95026,0.99997,0.0070176,9139.1913,57587062278.7286,525779.6478,0.0086959,1412.0626,2038292.3167,4.8347,4.9593,1.3027e-05,4.4501,-0.94631,0.99994,0.013158,6516.9803,38565349557.0345,659073.735,0.011771,1593,2543738.7226,4.219,4.3307,2.0111e-05,4.0063,-0.94775,0.99982,213.dcm
0.0011145,61261.7268,704539300727.4406,937969.9777,0.011981,1795.1242,3618685.2994,6.3943,6.8004,2.3232e-06,5.6838,-0.89049,0.99999,0.0014306,46597.0268,568481012677.7759,1134231.6357,0.013729,2057.3674,4371056.0706,6.0852,6.5508,2.9902e-06,5.464,-0.87004,0.99998,0.0016992,34024.3173,476689533605.3563,1251667.1328,0.015384,2185.8655,4814669.6193,5.8515,6.3789,3.7541e-06,5.2402,-0.84701,0.99996,0.012658,38891.0696,154779317691.9723,1596307.5433,0.013171,2441.7025,5998726.4087,4.2888,4.3694,1.0305e-05,4.1533,-0.95277,0.99984,221.dcm
0.0022998,103625.5334,358305891531.3904,736314.2754,0.0073685,1492.5998,2747386.5314,5.9378,6.0755,2.4433e-06,5.5549,-0.95027,0.99999,0.0034518,103787.5667,355156303877.6882,1040979.8662,0.0065902,1889.3437,3830266.7138,5.5316,5.6694,3.2966e-06,5.2696,-0.95346,0.99998,0.0051131,82132.4402,282785825035.2581,1277135.3681,0.0072289,2158.6008,4738688.4547,5.1224,5.2764,4.9315e-06,4.8954,-0.94449,0.99996,0.014647,101961.6581,111684035824.657,1419225.7946,0.014123,2234.8252,5040941.4229,4.1591,4.2252,1.1194e-05,4.0647,-0.94807,0.9998,230.dcm
0.0011481,60976.3833,687629155124.8143,957337.4067,0.011982,1824.1286,3698572.1004,6.3626,6.7707,2.3656e-06,5.6713,-0.88943,0.99999,0.0014535,45096.4312,558891996743.111,1148083.1897,0.013947,2073.8333,4422674.9475,6.0647,6.5349,3.056e-06,5.4444,-0.86745,0.99998,0.0017138,33227.9765,472260987353.2612,1255527.3404,0.015293,2190.7914,4833067.9655,5.8396,6.3704,3.7875e-06,5.2307,-0.84584,0.99996,0.012658,38891.0696,154779317691.9723,1596307.5433,0.013171,2441.7025,5998726.4087,4.2888,4.3694,1.0305e-05,4.1533,-0.95277,0.99984,270.dcm
0.014612,9370.8472,1959535382.5718,71594.0482,0.014665,467.439,268846.9438,4.1811,4.2264,3.5506e-05,4.0249,-0.95422,0.9998,0.017706,10643.8392,1906841839.9649,85066.5571,0.012211,527.5024,318266.8487,3.991,4.034,4.197e-05,3.8703,-0.95096,0.99972,0.027027,10988.8784,1687530414.7769,117867.3484,0.0069714,635.4324,426911.7836,3.5641,3.6109,6.1583e-05,3.4985,-0.95739,0.9994,0.05,8761.1875,1130847095.1551,154288.5466,0.01146,747.8625,564688.1031,2.9437,2.9957,0.00011377,2.9091,-0.92808,0.99766,291.dcm
0.012756,21185.6269,11817972213.5991,201627.9705,0.003836,790.2341,770196.828,4.3164,4.3624,1.9122e-05,4.1617,-0.98048,0.99989,0.016557,24054.9556,11229010233.9225,254010.891,0.0037129,922.746,960894.3056,4.0793,4.1018,2.3747e-05,3.949,-0.97881,0.99982,0.026014,25633.5814,9552641827.6441,347431.5594,0.004931,1101.9399,1285175.8248,3.6232,3.6499,3.4489e-05,3.5749,-0.97542,0.99958,0.052632,20838.9737,6699267412.5254,473538.84,0.0015804,1302.7105,1721866.8812,2.9262,2.9444,6.8918e-05,2.8897,-1,0.99861,297.dcm
0.019898,36540.4009,24944978068.8022,473019.1087,0.015811,1146.5146,1725160.682,3.8994,3.9196,1.8309e-05,3.8064,-0.98244,0.99975,0.026481,39948.9603,24008909397.0991,620591.6579,0.020725,1432.6171,2261113.4727,3.6077,3.6345,2.4012e-05,3.5398,-0.97933,0.99952,0.041958,19058.3392,19553993337.0362,813103.7138,0.028252,1723.3531,3012145.4814,3.1455,3.1746,3.5272e-05,3.1431,-0.96227,0.99868,0.097222,9826.4236,9914085484.0155,961828.1654,0.0025136,1902.5069,3639112.4907,2.3026,2.3411,7.8699e-05,2.3411,-0.92706,0.99189,306.dcm
0.026858,31231.6136,8018870882.4008,251358.3869,0.0091446,822.9688,974419.8845,3.6026,3.6207,3.2808e-05,3.5097,-0.98494,0.99957,0.035152,38545.9385,7728900137.4635,321830.2697,0.009719,1007.8955,1258902.6904,3.3438,3.3577,4.0564e-05,3.2907,-0.97915,0.99923,0.057143,39872.5,7412372557.9032,483021.5079,0.0091691,1306.7143,1835725.5241,2.8532,2.8763,6.4698e-05,2.8268,-0.99458,0.99828,0.11688,27937.4448,5086869673.7965,673324.1864,0.019164,1567.4578,2490880.8162,2.1719,2.1719,0.000126,2.1719,-1,0.9928,310.dcm
0.012707,51933.205,19376933129.0086,281054.9175,0.0093048,863.9109,1057102.1013,4.3309,4.3659,1.4245e-05,4.2525,-0.98538,0.9999,0.017549,60763.9124,18661760471.2992,382571.8572,0.0076009,1080.4238,1418486.4942,4.0188,4.0429,1.8248e-05,3.9942,-0.98181,0.99981,0.026316,61663.5263,17236506934.0891,537033.8406,0.011069,1330.3816,1930459.5344,3.6102,3.6376,2.8482e-05,3.5737,-0.98989,0.99961,0.052632,47024.5132,11888236295.1811,756343.6298,0.022044,1625.8026,2691570.4239,2.908,2.9444,5.7307e-05,2.8897,-0.97522,0.9984,318.dcm
