fgMaxotsu1,fgMinotsu1,fgStdevotsu1,fgMeanotsu1,fgMedianotsu1,bgMaxotsu1,bgMinotsu1,bgStdevotsu1,bgMeanotsu1,bgMedianotsu1,sumIntensityotsu1,fgMaxotsu2,fgMinotsu2,fgStdevotsu2,fgMeanotsu2,fgMedianotsu2,bgMaxotsu2,bgMinotsu2,bgStdevotsu2,bgMeanotsu2,bgMedianotsu2,sumIntensityotsu2,fgMaxotsu3,fgMinotsu3,fgStdevotsu3,fgMeanotsu3,fgMedianotsu3,bgMaxotsu3,bgMinotsu3,bgStdevotsu3,bgMeanotsu3,bgMedianotsu3,sumIntensityotsu3,fgMaxotsu4,fgMinotsu4,fgStdevotsu4,fgMeanotsu4,fgMedianotsu4,bgMaxotsu4,bgMinotsu4,bgStdevotsu4,bgMeanotsu4,bgMedianotsu4,sumIntensityotsu4,ImageName
1245.000000,323.000000,274.893110,897.123839,1050.000000,320.000000,82.000000,52.794498,219.883772,220.000000,1058817.000000,1245.000000,547.000000,187.202187,994.103545,1084.500000,542.000000,82.000000,110.879401,286.497041,258.500000,872007.000000,1245.000000,781.000000,97.355044,1073.127168,1103.000000,1001.000000,82.000000,191.184362,374.967157,312.000000,597159.000000,1245.000000,893.000000,47.590504,1112.919886,1117.000000,1093.000000,82.000000,262.871373,458.932316,384.000000,296511.000000,4.dcm
2211.000000,193.000000,210.002016,407.956072,371.000000,438.000000,59.000000,46.492621,161.527711,156.000000,248724.000000,2211.000000,313.000000,261.325409,494.097368,438.000000,936.000000,59.000000,105.282627,241.081582,235.000000,7278.000000,2211.000000,471.000000,598.803606,1014.842105,748.500000,936.000000,59.000000,129.470432,299.068636,303.000000,305664.000000,2211.000000,649.000000,532.624437,1415.904762,1322.000000,936.000000,59.000000,131.346423,302.275685,306.000000,323324.000000,75.dcm
1045.000000,203.000000,297.261613,771.979424,937.000000,475.000000,70.000000,53.922744,160.636364,161.000000,171688.000000,1045.000000,361.000000,204.941008,873.985222,990.000000,475.000000,70.000000,66.102009,187.589928,176.000000,151344.000000,1045.000000,715.000000,82.346328,966.567901,1007.000000,713.000000,70.000000,156.320841,260.611111,197.500000,109674.000000,1045.000000,937.000000,22.077741,1008.245902,1014.000000,933.000000,70.000000,266.157928,365.854545,230.500000,42518.000000,118.dcm
1102.000000,291.000000,284.288624,715.232662,731.500000,379.000000,105.000000,42.162262,211.231818,210.000000,500005.000000,1102.000000,471.000000,190.167823,878.486711,962.500000,719.000000,105.000000,92.640804,262.586134,237.000000,278867.000000,1102.000000,669.000000,97.694758,973.127473,1011.000000,730.000000,105.000000,142.049804,305.785259,256.000000,106715.000000,1102.000000,669.000000,55.492466,1016.220630,1033.000000,935.000000,105.000000,202.410790,352.008299,272.000000,69509.000000,134.dcm
1039.000000,215.000000,283.325503,605.676647,554.000000,214.000000,115.000000,28.402561,167.622951,164.000000,90923.000000,1039.000000,356.000000,220.937286,749.800000,800.000000,364.000000,115.000000,69.257551,222.530973,210.000000,61081.000000,1039.000000,637.000000,119.691377,887.118421,914.500000,617.000000,115.000000,135.117614,289.157895,258.500000,23469.000000,1039.000000,875.000000,47.154967,972.666667,989.000000,872.000000,115.000000,218.708276,369.415301,300.000000,23833.000000,143.dcm
1942.000000,283.000000,469.256968,690.738462,452.000000,279.000000,182.000000,25.675669,230.640000,228.000000,39132.000000,1942.000000,409.000000,476.275679,902.682927,700.000000,403.000000,182.000000,58.601248,278.653061,279.000000,23356.000000,1942.000000,643.000000,414.105663,1179.200000,1199.000000,619.000000,182.000000,102.236968,325.907692,302.000000,8296.000000,1942.000000,1317.000000,241.435404,1565.636364,1512.000000,1221.000000,182.000000,246.736470,423.316456,339.000000,16220.000000,175.dcm
602.000000,239.000000,113.992151,391.225806,371.000000,237.000000,150.000000,24.237736,195.368421,195.000000,20544.000000,602.000000,294.000000,97.206341,438.866667,420.000000,288.000000,150.000000,40.925591,228.305556,235.000000,11530.000000,602.000000,394.000000,69.488242,496.482759,497.000000,383.000000,150.000000,61.547674,260.961538,263.500000,828.000000,602.000000,499.000000,31.660979,558.428571,556.500000,497.000000,150.000000,93.674055,300.746269,284.000000,12332.000000,179.dcm
1078.000000,217.000000,281.023573,550.298246,518.000000,219.000000,161.000000,18.556563,193.208333,197.500000,26730.000000,1078.000000,329.000000,222.139783,700.605263,744.000000,308.000000,161.000000,38.725487,218.162791,215.000000,17242.000000,1078.000000,587.000000,137.205479,833.520000,839.000000,583.000000,161.000000,109.512491,270.821429,219.500000,5672.000000,1078.000000,848.000000,72.303653,948.000000,939.500000,839.000000,161.000000,208.468669,356.927536,242.000000,13252.000000,184.dcm
941.000000,232.000000,214.035845,528.600000,489.000000,225.000000,130.000000,21.741956,185.241379,191.000000,47402.000000,941.000000,358.000000,170.768629,634.592105,637.000000,356.000000,130.000000,58.716722,224.576087,201.000000,27568.000000,941.000000,548.000000,117.243521,731.274510,728.000000,528.000000,130.000000,103.989588,270.042735,232.000000,5700.000000,941.000000,749.000000,61.060680,833.360000,834.000000,728.000000,130.000000,170.859088,336.055944,271.000000,27222.000000,195.dcm
761.000000,235.000000,158.930177,461.030928,464.000000,228.000000,145.000000,25.176730,187.708333,188.000000,40215.000000,761.000000,317.000000,127.666707,528.027778,521.500000,314.000000,145.000000,47.297375,228.714286,235.000000,26811.000000,761.000000,464.000000,91.314275,596.510204,594.000000,453.000000,145.000000,85.033916,277.722222,258.500000,9233.000000,761.000000,609.000000,55.570243,679.636364,680.500000,604.000000,145.000000,135.922598,346.191919,317.000000,19321.000000,197.dcm
766.000000,209.000000,177.407457,465.333333,450.000000,206.000000,108.000000,28.397616,159.769231,164.000000,34934.000000,766.000000,310.000000,145.322873,536.809524,539.000000,306.000000,108.000000,53.598699,200.489362,204.000000,24396.000000,766.000000,449.000000,102.540880,612.136364,615.500000,437.000000,108.000000,89.108012,247.090909,235.000000,10626.000000,766.000000,647.000000,37.172818,709.150000,708.000000,622.000000,108.000000,150.596181,322.877778,295.500000,14876.000000,203.dcm
984.000000,208.000000,228.310666,549.440895,550.000000,204.000000,47.000000,43.304563,134.251969,137.000000,154925.000000,984.000000,402.000000,158.873051,672.569444,649.500000,394.000000,47.000000,84.689624,195.312500,190.000000,101525.000000,984.000000,584.000000,115.558774,761.335664,765.000000,581.000000,47.000000,152.270359,269.878788,223.000000,28717.000000,984.000000,749.000000,63.637901,855.368421,843.500000,744.000000,47.000000,204.061728,340.706044,274.500000,59009.000000,213.dcm
1579.000000,0.000000,323.723758,908.296703,1049.000000,518.000000,0.000000,81.722069,121.010917,122.000000,771127.000000,1579.000000,528.000000,185.391814,1047.485755,1088.000000,1577.000000,0.000000,209.328691,220.177177,173.500000,588697.000000,1579.000000,854.000000,106.056804,1112.749577,1104.000000,1577.000000,0.000000,260.305673,288.723295,207.000000,433297.000000,1579.000000,1088.000000,106.480947,1258.012658,1224.000000,1577.000000,0.000000,444.714532,607.129558,536.000000,683207.000000,221.dcm
1569.000000,0.000000,381.775895,762.537281,824.500000,349.000000,0.000000,80.298982,112.900901,128.000000,335185.000000,1569.000000,507.000000,238.913158,988.524917,1038.000000,1058.000000,0.000000,168.821408,235.725564,214.000000,234843.000000,1569.000000,891.000000,126.829017,1121.646766,1108.000000,1301.000000,0.000000,276.222954,368.300546,313.500000,90653.000000,1522.000000,1004.000000,87.166425,1185.986111,1164.000000,1569.000000,0.000000,400.295496,555.268687,477.000000,189467.000000,230.dcm
1579.000000,0.000000,312.464610,923.309875,1055.000000,552.000000,0.000000,86.074012,124.794661,123.000000,752661.000000,1579.000000,556.000000,174.367792,1056.023155,1089.000000,1577.000000,0.000000,195.144692,213.440177,169.000000,585213.000000,1579.000000,854.000000,104.536121,1114.624573,1104.500000,1577.000000,0.000000,256.152901,282.661125,198.500000,432129.000000,1579.000000,1088.000000,106.480947,1258.012658,1224.000000,1577.000000,0.000000,446.250716,601.107836,528.000000,675445.000000,270.dcm
607.000000,200.000000,121.634306,359.581081,332.500000,197.000000,131.000000,15.912050,176.120000,179.000000,22206.000000,607.000000,248.000000,109.496275,395.745763,396.000000,247.000000,131.000000,25.799908,191.575000,190.500000,15686.000000,607.000000,335.000000,74.295005,465.405405,477.000000,330.000000,131.000000,49.358069,222.451613,206.000000,3428.000000,607.000000,464.000000,42.066708,520.650000,513.000000,462.000000,131.000000,87.952416,260.746835,247.000000,10186.000000,291.dcm
958.000000,266.000000,201.101026,546.289157,526.000000,262.000000,152.000000,29.796644,213.560000,211.000000,40003.000000,958.000000,369.000000,170.020817,622.047619,589.000000,364.000000,152.000000,57.028019,255.377778,253.000000,27697.000000,958.000000,545.000000,125.512771,722.925000,713.000000,528.000000,152.000000,106.686440,320.058824,296.000000,7153.000000,958.000000,720.000000,65.765799,836.157895,819.000000,717.000000,152.000000,161.074824,390.943820,364.000000,18907.000000,297.dcm
