Areaotsu1,MajorAxisLengthotsu1,MinorAxisLengthotsu1,Eccentricityotsu1,ConvexAreaotsu1,EquivDiameterotsu1,Solidityotsu1,Extentotsu1,Perimeterotsu1,ConvexPerimeterotsu1,Circularityotsu1,Roughnessotsu1,Elongationotsu1,Compactnessotsu1,MaxChordLengthotsu1,RadialDistanceSDotsu1,SecondMomentotsu1,Areaotsu2,MajorAxisLengthotsu2,MinorAxisLengthotsu2,Eccentricityotsu2,ConvexAreaotsu2,EquivDiameterotsu2,Solidityotsu2,Extentotsu2,Perimeterotsu2,ConvexPerimeterotsu2,Circularityotsu2,Roughnessotsu2,Elongationotsu2,Compactnessotsu2,MaxChordLengthotsu2,RadialDistanceSDotsu2,SecondMomentotsu2,Areaotsu3,MajorAxisLengthotsu3,MinorAxisLengthotsu3,Eccentricityotsu3,ConvexAreaotsu3,EquivDiameterotsu3,Solidityotsu3,Extentotsu3,Perimeterotsu3,ConvexPerimeterotsu3,Circularityotsu3,Roughnessotsu3,Elongationotsu3,Compactnessotsu3,MaxChordLengthotsu3,RadialDistanceSDotsu3,SecondMomentotsu3,Areaotsu4,MajorAxisLengthotsu4,MinorAxisLengthotsu4,Eccentricityotsu4,ConvexAreaotsu4,EquivDiameterotsu4,Solidityotsu4,Extentotsu4,Perimeterotsu4,ConvexPerimeterotsu4,Circularityotsu4,Roughnessotsu4,Elongationotsu4,Compactnessotsu4,MaxChordLengthotsu4,RadialDistanceSDotsu4,SecondMomentotsu4,ImageName
1292.000000,48.512674,38.168448,0.617243,1573.000000,40.558914,0.821360,0.739130,223.823376,153.443359,0.689567,0.685556,1.271015,3.085592,56.035703,3.744158,0.184193,1072.000000,43.719473,35.531465,0.582662,1309.000000,36.944726,0.818946,0.613272,189.195959,143.787841,0.651569,0.759994,1.230444,2.657168,56.035703,4.015906,0.184889,865.000000,36.607473,32.461415,0.462263,1021.000000,33.186627,0.847209,0.633700,141.296465,122.077454,0.729382,0.863981,1.127723,1.836693,44.294469,2.596481,0.172773,699.000000,31.195654,30.174089,0.253814,760.000000,29.832775,0.919737,0.641873,115.396970,103.787371,0.815451,0.899394,1.033856,1.516009,34.176015,1.812449,0.168185,4.dcm
774.000000,41.113316,27.250340,0.748787,873.000000,31.392474,0.886598,0.699187,173.982756,117.618424,0.703073,0.676035,1.508727,3.112158,43.829214,3.898130,0.196239,380.000000,37.359583,19.803599,0.847947,610.000000,21.996159,0.622951,0.413043,165.195959,100.521600,0.472579,0.608499,1.886505,5.714857,41.484937,4.424564,0.293627,38.000000,12.577862,4.918032,0.920388,50.000000,6.955796,0.760000,0.690909,33.313708,29.135563,0.562531,0.874582,2.557499,2.324088,11.401754,1.439091,0.295597,21.000000,11.061970,3.145770,0.958713,25.000000,5.170883,0.840000,0.525000,25.071068,24.315260,0.446346,0.969853,3.516459,2.381861,10.440307,1.437807,0.385703,75.dcm
243.000000,18.643786,17.492298,0.345992,262.000000,17.589690,0.927481,0.794118,70.526912,61.295387,0.812757,0.869106,1.065828,1.628897,20.808652,1.035479,0.167414,203.000000,17.594781,15.028335,0.520050,209.000000,16.076928,0.971292,0.792969,55.213203,53.360508,0.895913,0.966445,1.170774,1.195033,18.867962,0.772815,0.164027,162.000000,16.771923,12.708951,0.652543,169.000000,14.361922,0.958580,0.720000,50.041631,48.658251,0.859829,0.972355,1.319694,1.230093,18.027756,0.998798,0.169810,122.000000,13.665151,11.513715,0.538602,125.000000,12.463355,0.976000,0.782051,41.213203,40.560246,0.931898,0.984157,1.186859,1.107906,13.928388,0.505541,0.162211,118.dcm
894.000000,40.504954,31.716129,0.621998,1244.000000,33.738348,0.718650,0.575290,204.409163,131.355268,0.651107,0.642609,1.277109,3.719233,46.043458,3.232112,0.184836,602.000000,32.473980,26.672391,0.570430,825.000000,27.685560,0.729697,0.477778,144.124892,109.280609,0.633461,0.758235,1.217513,2.745817,42.047592,3.235798,0.183068,455.000000,27.527744,21.511267,0.623981,482.000000,24.069150,0.943983,0.732689,85.597980,80.492653,0.882488,0.940357,1.279690,1.281462,27.802878,1.411942,0.167286,349.000000,24.904439,18.499023,0.669513,377.000000,21.079862,0.925729,0.671154,80.426407,72.328503,0.838333,0.899313,1.346257,1.474898,26.076810,1.520450,0.171880,134.dcm
167.000000,18.192824,12.429899,0.730202,191.000000,14.581872,0.874346,0.732456,60.384776,53.546958,0.731908,0.886763,1.463634,1.737515,20.615528,1.389461,0.180694,115.000000,15.845945,9.711719,0.790173,132.000000,12.100518,0.871212,0.598958,46.627417,43.210341,0.773985,0.926715,1.631631,1.504440,16.492423,1.300676,0.186274,76.000000,12.752667,7.935169,0.782830,82.000000,9.836982,0.926829,0.649573,35.213203,34.169170,0.818002,0.970351,1.607107,1.298338,13.152946,1.021258,0.183331,45.000000,9.117686,6.719248,0.675951,51.000000,7.569398,0.882353,0.642857,27.556349,26.339895,0.815069,0.955856,1.356950,1.342830,10.000000,0.666843,0.174464,143.dcm
65.000000,11.165181,8.408010,0.657956,75.000000,9.097284,0.866667,0.722222,36.727922,33.567306,0.724920,0.913945,1.327922,1.651465,12.041595,0.910893,0.185278,41.000000,8.126042,7.204085,0.462646,45.000000,7.225152,0.911111,0.732143,26.485281,25.061773,0.820295,0.946253,1.127977,1.361493,8.544004,0.643508,0.175708,25.000000,7.822044,4.468993,0.820718,27.000000,5.641896,0.925926,0.714286,20.485281,19.950845,0.789273,0.973911,1.750292,1.335777,7.615773,0.714147,0.196224,11.000000,5.104959,2.978342,0.812170,11.000000,3.742410,1.000000,0.733333,13.071068,12.892922,0.831572,0.986371,1.714027,1.236003,5.099020,0.437086,0.183321,175.dcm
62.000000,9.971395,8.089745,0.584637,63.000000,8.884866,0.984127,0.861111,29.899495,29.469413,0.897137,0.985616,1.232597,1.147430,10.816654,0.458358,0.163514,45.000000,8.376167,6.986606,0.551605,47.000000,7.569398,0.957447,0.803571,25.313708,24.779272,0.920970,0.978887,1.198889,1.133155,8.544004,0.347287,0.161536,29.000000,6.550666,5.830170,0.455937,30.000000,6.076508,0.966667,0.805556,20.485281,20.055200,0.906054,0.979005,1.123581,1.151532,6.708204,0.315782,0.159990,14.000000,4.364358,4.279360,0.196396,14.000000,4.222008,1.000000,0.875000,13.656854,13.656854,0.943271,1.000000,1.019862,1.060141,4.472136,0.216856,0.154883,179.dcm
57.000000,10.036513,7.927245,0.613312,64.000000,8.519076,0.890625,0.791667,32.142136,30.153830,0.787771,0.938140,1.266078,1.442330,10.295630,0.756241,0.176432,38.000000,8.618151,6.104874,0.705837,38.000000,6.955796,1.000000,0.775510,24.485281,24.307136,0.808213,0.992724,1.411684,1.255500,9.219544,0.645911,0.179071,25.000000,6.423654,5.307366,0.563344,26.000000,5.641896,0.961538,0.833333,19.656854,19.404918,0.834308,0.987183,1.210328,1.229924,7.211103,0.423149,0.166912,12.000000,4.514225,3.705791,0.571052,12.000000,3.908820,1.000000,0.750000,13.071068,13.071068,0.882610,1.000000,1.218154,1.133003,4.472136,0.328445,0.163773,184.dcm
110.000000,12.444346,11.620129,0.357880,119.000000,11.834541,0.924370,0.763889,41.798990,39.613175,0.880893,0.947707,1.070930,1.263947,13.416408,0.535208,0.163195,76.000000,10.431754,9.435759,0.426425,80.000000,9.836982,0.950000,0.760000,33.556349,32.295165,0.915690,0.962416,1.105555,1.179033,10.816654,0.357217,0.160517,51.000000,8.526737,7.838569,0.393574,54.000000,8.058239,0.944444,0.796875,27.313708,26.527336,0.910737,0.971210,1.087793,1.164076,8.944272,0.367879,0.161130,25.000000,6.123143,5.339306,0.489528,25.000000,5.641896,1.000000,0.833333,18.485281,18.307136,0.937366,0.990363,1.146805,1.087683,6.324555,0.278126,0.158336,195.dcm
97.000000,12.293439,10.852734,0.469736,107.000000,11.113246,0.906542,0.801653,41.899495,39.854893,0.767394,0.951202,1.132750,1.440244,13.601471,0.818855,0.171549,72.000000,12.113983,8.191281,0.736733,81.000000,9.574615,0.888889,0.727273,35.899495,33.785844,0.792634,0.941123,1.478887,1.424408,12.529964,0.974130,0.183315,49.000000,10.876658,6.708555,0.787132,57.000000,7.898654,0.859649,0.612500,30.727922,28.768182,0.744014,0.936223,1.621312,1.533418,10.770330,1.018052,0.204898,22.000000,8.710429,4.569216,0.851368,30.000000,5.292567,0.733333,0.458333,23.899495,21.970320,0.572743,0.919280,1.906329,2.066069,8.944272,1.050694,0.267280,197.dcm
