gabormean_0_0rg1,gaborSD_0_0rg1,gabormean_0_1rg1,gaborSD_0_1rg1,gabormean_0_2rg1,gaborSD_0_2rg1,gabormean_1_0rg1,gaborSD_1_0rg1,gabormean_1_1rg1,gaborSD_1_1rg1,gabormean_1_2rg1,gaborSD_1_2rg1,gabormean_2_0rg1,gaborSD_2_0rg1,gabormean_2_1rg1,gaborSD_2_1rg1,gabormean_2_2rg1,gaborSD_2_2rg1,gabormean_3_0rg1,gaborSD_3_0rg1,gabormean_3_1rg1,gaborSD_3_1rg1,gabormean_3_2rg1,gaborSD_3_2rg1,gabormean_0_0rg2,gaborSD_0_0rg2,gabormean_0_1rg2,gaborSD_0_1rg2,gabormean_0_2rg2,gaborSD_0_2rg2,gabormean_1_0rg2,gaborSD_1_0rg2,gabormean_1_1rg2,gaborSD_1_1rg2,gabormean_1_2rg2,gaborSD_1_2rg2,gabormean_2_0rg2,gaborSD_2_0rg2,gabormean_2_1rg2,gaborSD_2_1rg2,gabormean_2_2rg2,gaborSD_2_2rg2,gabormean_3_0rg2,gaborSD_3_0rg2,gabormean_3_1rg2,gaborSD_3_1rg2,gabormean_3_2rg2,gaborSD_3_2rg2,gabormean_0_0rg3,gaborSD_0_0rg3,gabormean_0_1rg3,gaborSD_0_1rg3,gabormean_0_2rg3,gaborSD_0_2rg3,gabormean_1_0rg3,gaborSD_1_0rg3,gabormean_1_1rg3,gaborSD_1_1rg3,gabormean_1_2rg3,gaborSD_1_2rg3,gabormean_2_0rg3,gaborSD_2_0rg3,gabormean_2_1rg3,gaborSD_2_1rg3,gabormean_2_2rg3,gaborSD_2_2rg3,gabormean_3_0rg3,gaborSD_3_0rg3,gabormean_3_1rg3,gaborSD_3_1rg3,gabormean_3_2rg3,gaborSD_3_2rg3,gabormean_0_0rg4,gaborSD_0_0rg4,gabormean_0_1rg4,gaborSD_0_1rg4,gabormean_0_2rg4,gaborSD_0_2rg4,gabormean_1_0rg4,gaborSD_1_0rg4,gabormean_1_1rg4,gaborSD_1_1rg4,gabormean_1_2rg4,gaborSD_1_2rg4,gabormean_2_0rg4,gaborSD_2_0rg4,gabormean_2_1rg4,gaborSD_2_1rg4,gabormean_2_2rg4,gaborSD_2_2rg4,gabormean_3_0rg4,gaborSD_3_0rg4,gabormean_3_1rg4,gaborSD_3_1rg4,gabormean_3_2rg4,gaborSD_3_2rg4,gabormean_0_0rg5,gaborSD_0_0rg5,gabormean_0_1rg5,gaborSD_0_1rg5,gabormean_0_2rg5,gaborSD_0_2rg5,gabormean_1_0rg5,gaborSD_1_0rg5,gabormean_1_1rg5,gaborSD_1_1rg5,gabormean_1_2rg5,gaborSD_1_2rg5,gabormean_2_0rg5,gaborSD_2_0rg5,gabormean_2_1rg5,gaborSD_2_1rg5,gabormean_2_2rg5,gaborSD_2_2rg5,gabormean_3_0rg5,gaborSD_3_0rg5,gabormean_3_1rg5,gaborSD_3_1rg5,gabormean_3_2rg5,gaborSD_3_2rg5,gabormean_0_0rg6,gaborSD_0_0rg6,gabormean_0_1rg6,gaborSD_0_1rg6,gabormean_0_2rg6,gaborSD_0_2rg6,gabormean_1_0rg6,gaborSD_1_0rg6,gabormean_1_1rg6,gaborSD_1_1rg6,gabormean_1_2rg6,gaborSD_1_2rg6,gabormean_2_0rg6,gaborSD_2_0rg6,gabormean_2_1rg6,gaborSD_2_1rg6,gabormean_2_2rg6,gaborSD_2_2rg6,gabormean_3_0rg6,gaborSD_3_0rg6,gabormean_3_1rg6,gaborSD_3_1rg6,gabormean_3_2rg6,gaborSD_3_2rg6,ImageName
12.286624,5.483115,6.732484,4.987373,225.273885,7.939155,54.662420,12.191263,103.480892,20.596255,71.114650,22.111240,17.305732,4.812341,8.894904,3.313990,226.305732,8.024852,58.665605,22.806863,76.347134,13.738680,67.334395,26.349451,13.568067,6.275922,6.569748,4.679610,222.100840,14.185991,49.884034,14.223978,99.678992,22.846055,64.631933,22.708310,19.134454,10.598523,9.966387,11.201350,224.151261,12.307808,55.867227,22.733432,80.986555,23.055777,64.586555,28.809612,13.953775,6.581940,6.485362,4.582931,221.090909,15.246110,49.263482,14.531359,99.907550,24.310950,63.778120,22.999935,19.277350,10.427889,9.904468,10.900651,223.070878,13.820763,55.869029,22.697143,81.446841,23.445709,64.329738,28.650820,13.927220,6.570138,6.391557,4.515227,220.116448,15.852393,49.410480,14.474177,99.761281,24.742724,63.981077,22.734260,19.263464,10.421112,9.796215,10.643540,222.029112,14.493460,56.004367,23.271593,81.248908,25.539498,64.362445,28.640751,14.031339,6.695252,6.361823,4.497915,219.321937,16.760597,49.122507,14.604216,99.619658,24.704284,63.605413,22.846248,19.559829,11.481113,10.047009,12.063518,221.217949,15.455225,55.809117,23.334155,81.216524,26.038189,64.047009,28.643349,14.133053,6.749615,6.361345,4.497276,218.683473,17.420807,49.204482,14.947883,100.180672,26.165610,63.505602,22.969352,19.731092,11.594503,10.030812,11.971994,220.579832,16.130949,55.718487,23.224752,80.915966,26.066453,63.978992,28.610277,4.dcm
7.320000,1.625833,3.400000,1.779513,98.920000,2.531798,15.720000,8.054605,20.920000,8.092795,13.400000,3.915780,13.400000,6.512808,2.080000,1.913113,121.080000,6.435060,17.160000,8.429512,20.480000,10.966312,20.120000,5.592555,11.823529,13.816191,7.801471,13.988260,93.742647,12.061568,16.308824,7.688871,22.580882,12.187763,14.455882,5.355326,7.573529,5.687716,1.897059,1.415676,112.316176,18.271898,16.963235,7.738703,15.823529,8.150330,18.698529,6.567394,9.964815,10.591621,6.098148,10.779954,89.755556,16.277609,17.116667,10.292174,25.607407,14.360891,15.192593,8.906229,9.188889,10.892180,4.144444,11.418887,109.459259,21.214083,18.381481,12.810986,17.122222,9.844235,19.959259,13.095419,9.758170,10.603724,6.027778,10.761096,86.955882,17.822631,17.006536,10.243354,25.516340,14.414420,15.000000,9.004272,9.316993,11.537493,4.405229,12.197334,106.132353,22.672228,18.199346,12.440739,16.722222,9.596847,19.647059,12.756807,10.090103,11.393026,6.416544,11.797386,86.540620,18.654367,17.262925,10.461199,26.026588,15.001751,15.125554,9.217966,9.419498,11.792766,4.471196,12.434009,105.460857,23.577777,18.041359,12.097291,16.744461,9.495779,19.293944,12.399687,10.047431,11.419345,6.358366,11.744449,84.320158,20.005052,17.616601,11.349999,26.706192,17.101956,15.405797,10.065813,10.329381,15.994213,5.376812,16.681568,103.313570,25.000880,18.105402,12.627480,16.667984,10.643190,19.072464,12.378647,75.dcm
24.476636,14.363440,10.663551,9.275596,217.392523,23.427027,33.401869,14.030196,51.943925,22.023072,42.766355,13.819305,18.056075,19.398907,8.682243,14.420634,216.635514,22.728252,42.672897,22.005906,58.943925,29.688265,39.271028,15.598482,24.347826,14.179330,10.869565,10.099958,214.878261,24.445481,33.478261,14.290438,53.200000,23.599063,42.504348,13.924845,18.295652,18.900002,8.860870,14.564971,214.078261,23.914375,42.165217,23.042649,61.521739,33.670318,38.643478,16.027494,24.475410,14.062560,10.647541,9.898595,212.147541,26.283474,34.918033,18.446523,55.418033,30.029418,42.614754,14.237331,19.352459,21.787828,9.811475,17.960163,211.647541,25.306362,43.729508,26.239216,64.081967,37.233370,38.622951,16.953182,26.954198,24.207393,15.480916,27.924445,206.541985,33.991687,38.763359,28.874485,59.335878,36.022559,46.267176,27.102604,26.183206,38.573367,17.770992,40.523035,206.229008,32.919848,48.984733,36.976913,66.412214,39.622230,44.610687,33.294622,29.807407,31.226304,17.548148,34.533937,204.562963,35.899654,39.333333,29.618973,59.874074,36.296957,46.918519,28.263433,26.303704,38.596124,18.155556,40.791034,204.296296,34.592095,49.681481,37.434451,67.696296,40.119090,45.155556,34.326107,29.576642,31.062727,17.408759,34.306052,203.459854,36.793545,39.240876,29.411264,59.386861,36.295002,46.919708,28.071615,28.226277,42.936683,20.000000,45.280498,203.233577,35.464826,50.510949,37.889762,68.000000,40.732629,45.226277,34.081216,118.dcm
44.558511,20.037713,25.148936,18.056630,230.191489,10.827551,130.356383,36.592796,99.691489,22.152136,173.691489,34.205115,23.058511,7.855771,7.968085,3.133234,231.792553,10.513783,103.021277,34.362017,101.297872,22.390234,154.792553,40.395697,46.309446,21.806307,26.149837,18.056837,222.680782,14.649357,122.973941,40.513606,97.100977,29.433423,162.605863,39.320757,25.570033,11.492999,8.146580,4.345535,224.426710,14.785294,102.628664,35.381380,102.371336,30.950185,151.371336,41.596948,46.756024,22.986088,26.183735,18.344125,220.876506,15.941541,121.253012,41.542347,97.150602,31.570019,160.015060,40.385937,25.587349,11.455743,7.996988,4.284094,222.439759,16.479209,100.665663,36.113111,102.186747,31.103298,148.861446,41.965517,48.000000,25.148613,26.502857,18.345108,219.068571,17.637739,120.080000,42.201378,97.534286,32.675757,158.194286,40.871130,25.805714,11.860071,7.937143,4.281170,220.511429,18.449921,99.640000,36.398567,102.388571,32.068924,147.531429,42.050153,48.275000,25.225544,26.277778,18.189824,218.125000,18.510208,119.605556,42.022145,97.297222,32.718398,157.736111,40.744189,25.986111,11.875741,7.872222,4.264292,219.563889,19.375524,99.411111,36.143060,102.447222,32.327666,147.133333,41.695460,48.243523,25.539433,26.334197,18.114634,215.632124,20.400265,118.955959,42.282914,98.251295,34.453757,156.132124,40.470296,26.313472,12.076495,7.764249,4.228397,217.181347,20.993710,98.727979,36.582248,102.411917,34.871173,145.137306,42.514038,134.dcm
42.576923,27.206136,9.000000,4.947727,218.884615,13.076167,65.384615,29.335408,97.807692,42.245018,51.884615,23.843367,44.500000,13.414172,13.076923,10.556223,216.961538,13.545422,30.307692,16.499138,132.500000,63.880670,26.538462,14.604741,42.535714,26.417562,9.714286,5.543479,217.142857,14.985707,66.035714,28.329388,101.142857,43.480702,51.357143,23.970992,44.500000,12.942895,12.821429,10.459989,214.964286,15.307907,29.571429,16.432643,133.392857,61.605278,26.392857,14.350995,48.710526,33.513134,10.000000,6.277372,208.789474,20.031270,66.684211,34.816977,109.868421,50.959004,51.026316,23.927240,46.368421,14.807633,12.736842,9.607666,207.526316,19.327528,28.921053,16.675571,133.447368,62.037782,26.263158,14.676114,50.860465,34.677138,9.883721,6.211392,205.465116,21.407997,63.069767,37.041415,113.488372,51.068289,49.046512,25.422107,46.790698,15.157205,12.558140,9.173726,203.883721,20.946882,30.162791,17.929664,132.953488,60.507754,27.534884,14.989439,50.765957,33.256064,9.957447,6.300302,202.702128,22.679156,64.234043,37.636253,116.531915,52.232695,49.510638,25.159381,47.361702,17.477222,12.425532,8.941220,200.936170,22.483235,29.319149,17.677185,131.744681,59.056520,26.489362,15.053343,53.709091,34.662752,9.654545,6.092552,197.363636,25.001010,66.509091,38.032088,120.472727,52.997503,50.072727,26.132748,48.400000,19.479904,12.145455,8.716562,195.127273,25.676805,29.727273,19.659560,129.254545,59.491431,26.927273,16.814736,143.dcm
61.250000,32.345788,20.000000,13.735599,133.000000,41.833001,55.750000,29.904013,91.250000,22.081289,66.750000,28.028260,14.000000,3.559026,11.000000,14.764823,88.500000,19.070046,26.000000,25.832796,65.500000,18.734994,36.000000,21.802141,75.200000,41.924933,18.000000,12.708265,135.200000,36.560908,55.600000,25.899807,93.200000,19.613771,64.000000,25.039968,14.600000,3.361547,9.400000,13.277801,89.400000,16.637307,22.800000,23.488295,75.800000,28.172682,44.000000,26.009614,71.227273,68.352679,66.545455,83.312794,69.045455,45.144717,77.318182,52.569579,63.818182,38.216970,91.545455,71.235175,18.272727,15.344246,41.409091,38.608732,51.181818,27.119904,44.409091,32.617055,40.636364,26.377381,52.090909,33.252152,77.280000,53.779611,82.760000,70.605128,56.060000,38.696311,78.040000,48.787737,61.080000,38.545939,87.180000,59.162761,24.840000,26.601642,42.860000,41.485188,50.300000,30.967560,86.180000,66.063263,54.600000,45.165907,70.600000,37.985497,78.333333,53.767896,85.196078,72.028056,55.686275,38.400255,76.980392,48.886599,60.882353,38.184629,85.607843,59.634580,24.607843,26.386420,42.039216,41.484436,50.254902,30.658012,86.431373,65.423927,55.450980,45.123082,69.823529,38.010370,78.333333,53.767896,85.196078,72.028056,55.686275,38.400255,76.980392,48.886599,60.882353,38.184629,85.607843,59.634580,24.607843,26.386420,42.039216,41.484436,50.254902,30.658012,86.431373,65.423927,55.450980,45.123082,69.823529,38.010370,175.dcm
25.750000,8.013382,28.750000,29.455778,191.625000,12.603146,22.375000,17.377633,131.125000,17.274568,36.750000,20.830952,24.375000,6.345696,12.750000,18.934096,188.000000,11.513967,52.500000,23.305425,147.000000,45.179009,34.250000,19.753842,31.538462,18.644103,26.000000,28.653098,185.461538,13.201107,21.461538,18.621741,129.538462,19.538916,34.923077,21.565642,25.461538,7.741828,14.230769,19.201362,183.153846,11.936262,50.307692,25.007947,141.615385,48.288264,32.538462,18.090584,32.666667,20.464836,27.400000,28.595204,181.933333,15.406245,23.666667,18.231318,131.866667,20.409615,35.466667,20.145424,25.266667,9.153194,16.000000,20.096197,180.000000,13.989792,56.266667,27.988433,140.933333,44.762016,39.800000,25.520860,35.409091,22.763084,34.818182,45.042452,170.181818,22.173851,24.909091,16.466153,133.636364,19.776237,37.272727,19.986142,31.590909,22.651940,31.818182,42.024524,168.409091,21.508933,55.818182,31.106019,155.863636,45.277236,36.636364,23.198000,34.478261,22.683333,36.173913,44.484576,169.000000,22.393181,28.478261,23.490558,135.826087,21.991015,41.347826,27.626747,31.652174,22.133086,32.695652,41.273406,166.869565,22.273719,54.260870,31.295102,157.652174,45.060171,36.217391,22.753534,38.156250,24.601481,39.843750,46.700217,155.125000,30.400287,26.812500,22.130751,132.843750,22.130273,39.437500,25.396136,45.531250,53.054436,50.500000,67.170942,152.843750,32.372937,61.406250,30.774790,161.812500,44.554742,38.937500,22.144594,179.dcm
21.000000,0.000000,2.000000,0.000000,163.000000,0.000000,20.000000,0.000000,91.000000,0.000000,15.000000,0.000000,15.000000,0.000000,5.000000,0.000000,163.000000,0.000000,22.000000,0.000000,43.000000,0.000000,34.000000,0.000000,21.000000,0.000000,2.000000,0.000000,163.000000,0.000000,20.000000,0.000000,91.000000,0.000000,15.000000,0.000000,15.000000,0.000000,5.000000,0.000000,163.000000,0.000000,22.000000,0.000000,43.000000,0.000000,34.000000,0.000000,21.000000,0.000000,2.000000,0.000000,163.000000,0.000000,20.000000,0.000000,91.000000,0.000000,15.000000,0.000000,15.000000,0.000000,5.000000,0.000000,163.000000,0.000000,22.000000,0.000000,43.000000,0.000000,34.000000,0.000000,21.000000,0.000000,2.000000,0.000000,163.000000,0.000000,20.000000,0.000000,91.000000,0.000000,15.000000,0.000000,15.000000,0.000000,5.000000,0.000000,163.000000,0.000000,22.000000,0.000000,43.000000,0.000000,34.000000,0.000000,21.000000,0.000000,2.000000,0.000000,163.000000,0.000000,20.000000,0.000000,91.000000,0.000000,15.000000,0.000000,15.000000,0.000000,5.000000,0.000000,163.000000,0.000000,22.000000,0.000000,43.000000,0.000000,34.000000,0.000000,21.000000,0.000000,2.000000,0.000000,163.000000,0.000000,20.000000,0.000000,91.000000,0.000000,15.000000,0.000000,15.000000,0.000000,5.000000,0.000000,163.000000,0.000000,22.000000,0.000000,43.000000,0.000000,34.000000,0.000000,184.dcm
83.666667,7.633261,19.333333,9.157875,224.500000,7.063993,71.166667,33.385126,129.500000,18.261982,62.166667,28.978728,51.000000,9.380832,8.333333,2.732520,223.333333,8.869423,55.333333,33.428531,123.500000,38.130041,48.833333,27.073357,83.666667,7.633261,19.333333,9.157875,224.500000,7.063993,71.166667,33.385126,129.500000,18.261982,62.166667,28.978728,51.000000,9.380832,8.333333,2.732520,223.333333,8.869423,55.333333,33.428531,123.500000,38.130041,48.833333,27.073357,79.153846,23.681379,14.846154,10.953281,217.076923,10.515556,45.769231,35.536727,123.846154,25.294420,47.538462,26.238062,48.846154,9.397217,7.615385,4.822490,218.076923,10.547208,68.923077,26.880791,115.461538,38.515398,66.230769,26.972683,74.772727,28.393379,15.636364,12.919330,206.409091,16.188353,45.272727,30.659702,130.545455,24.108341,44.136364,25.519918,51.727273,14.989462,7.409091,4.510929,207.590909,17.025636,73.590909,29.352795,121.000000,40.302428,70.454545,27.493250,71.000000,31.456637,14.307692,12.341051,202.730769,17.653459,47.115385,29.115394,133.576923,24.467404,44.730769,25.863577,51.192308,14.461035,8.576923,5.907101,204.653846,17.478998,81.307692,33.998552,127.615385,43.389471,77.230769,30.906708,74.200000,33.907140,13.857143,13.871560,192.714286,23.147318,45.742857,28.676023,136.828571,26.137066,43.028571,25.209109,51.857143,14.753151,10.285714,11.974412,195.371429,22.443505,83.371429,34.460622,134.514286,43.971496,78.600000,31.073158,195.dcm
56.000000,14.525839,12.333333,4.932883,185.000000,11.269428,43.333333,9.865766,181.333333,11.503623,48.666667,18.929694,56.666667,17.214335,15.333333,6.429101,200.333333,15.275252,34.666667,7.371115,115.666667,29.670412,32.666667,2.309401,75.000000,16.504545,10.909091,5.412108,184.818182,22.391151,48.909091,35.214925,203.636364,28.366433,54.727273,33.615743,50.000000,46.327098,39.727273,49.199778,193.181818,20.624346,31.636364,14.136992,103.454545,42.678715,31.818182,12.679260,69.384615,22.691917,10.769231,5.019194,185.384615,22.130441,49.230769,33.615854,199.538462,28.058318,54.384615,31.613653,48.384615,44.261606,35.307692,46.219377,195.692308,20.348565,32.153846,14.010985,97.923077,42.629140,32.000000,12.151817,64.333333,32.381703,23.200000,32.692296,168.166667,29.815621,49.800000,30.800134,178.866667,38.670789,55.366667,33.225959,49.433333,50.489113,33.233333,54.058514,179.900000,30.078461,29.866667,13.972222,107.300000,45.466282,27.366667,13.909767,64.200000,33.154540,24.685714,35.944214,163.885714,31.611401,48.285714,30.533079,172.371429,39.774427,54.000000,31.847985,57.142857,59.955936,40.114286,65.525375,175.571429,33.129235,30.257143,13.886817,109.057143,44.679870,26.800000,13.659300,60.048780,33.520853,23.121951,33.514322,160.658537,31.755795,49.951220,31.497580,170.926829,40.147472,54.097561,33.937299,60.292683,61.804629,39.853659,67.650041,171.902439,34.187574,31.878049,17.398556,108.975610,44.571565,27.121951,15.414596,197.dcm
