fgMaxrg1,fgMinrg1,fgStdevrg1,fgMeanrg1,fgMedianrg1,bgMaxrg1,bgMinrg1,bgStdevrg1,bgMeanrg1,bgMedianrg1,sumIntensityrg1,fgMaxrg2,fgMinrg2,fgStdevrg2,fgMeanrg2,fgMedianrg2,bgMaxrg2,bgMinrg2,bgStdevrg2,bgMeanrg2,bgMedianrg2,sumIntensityrg2,fgMaxrg3,fgMinrg3,fgStdevrg3,fgMeanrg3,fgMedianrg3,bgMaxrg3,bgMinrg3,bgStdevrg3,bgMeanrg3,bgMedianrg3,sumIntensityrg3,fgMaxrg4,fgMinrg4,fgStdevrg4,fgMeanrg4,fgMedianrg4,bgMaxrg4,bgMinrg4,bgStdevrg4,bgMeanrg4,bgMedianrg4,sumIntensityrg4,fgMaxrg5,fgMinrg5,fgStdevrg5,fgMeanrg5,fgMedianrg5,bgMaxrg5,bgMinrg5,bgStdevrg5,bgMeanrg5,bgMedianrg5,sumIntensityrg5,fgMaxrg6,fgMinrg6,fgStdevrg6,fgMeanrg6,fgMedianrg6,bgMaxrg6,bgMinrg6,bgStdevrg6,bgMeanrg6,bgMedianrg6,sumIntensityrg6,ImageName
1149.000000,1057.000000,21.094190,1105.000000,1107.000000,1245.000000,82.000000,370.464513,636.248954,589.000000,565411.000000,1232.000000,1057.000000,31.409660,1122.583193,1123.000000,1245.000000,82.000000,304.701850,512.934952,423.000000,76523.000000,1245.000000,1045.000000,36.926460,1121.117103,1121.000000,1093.000000,82.000000,281.189834,483.845314,404.000000,195859.000000,1245.000000,893.000000,46.275957,1114.588064,1118.000000,1093.000000,82.000000,267.974957,465.248822,391.000000,272093.000000,1245.000000,893.000000,47.989370,1112.467236,1116.000000,1093.000000,82.000000,261.600702,457.360421,383.000000,302553.000000,1245.000000,893.000000,49.954429,1110.483193,1115.000000,1093.000000,82.000000,256.593092,451.127660,379.500000,326419.000000,4.dcm
433.000000,370.000000,19.386421,402.600000,398.000000,2211.000000,59.000000,209.850216,320.212199,305.000000,362662.000000,445.000000,313.000000,33.712649,385.073529,387.000000,2211.000000,59.000000,219.368425,313.791073,288.000000,278052.000000,621.000000,193.000000,67.042595,382.081481,373.000000,2211.000000,59.000000,264.662242,271.907550,197.000000,29856.000000,621.000000,193.000000,70.889087,371.148693,362.000000,2211.000000,59.000000,280.335323,269.755633,180.000000,71494.000000,621.000000,193.000000,75.093957,371.422452,363.000000,2211.000000,59.000000,292.534260,256.521484,169.500000,120114.000000,627.000000,193.000000,83.631995,360.519104,354.000000,2211.000000,59.000000,316.469890,253.855814,158.000000,164476.000000,75.dcm
1045.000000,984.000000,12.030687,1015.130841,1015.000000,982.000000,70.000000,295.688730,403.723404,250.000000,13744.000000,1045.000000,964.000000,16.599064,1011.921739,1015.000000,958.000000,70.000000,280.741970,383.801762,247.000000,29248.000000,1045.000000,937.000000,22.077741,1008.245902,1014.000000,933.000000,70.000000,266.157928,365.854545,230.500000,42518.000000,1045.000000,913.000000,30.477029,1002.366412,1013.000000,909.000000,70.000000,244.989851,342.104265,220.000000,59126.000000,1045.000000,889.000000,34.545060,999.400000,1013.000000,876.000000,70.000000,234.465367,331.280193,218.000000,66344.000000,1045.000000,875.000000,37.393487,997.591241,1012.000000,855.000000,70.000000,229.305386,325.970732,217.000000,69846.000000,118.dcm
1089.000000,1018.000000,16.618500,1050.085106,1047.500000,1102.000000,105.000000,277.746111,425.633236,302.000000,383999.000000,1102.000000,669.000000,54.962285,1023.576547,1037.000000,985.000000,105.000000,227.452004,372.568565,280.000000,150355.000000,1102.000000,669.000000,54.649409,1019.692771,1034.000000,959.000000,105.000000,212.800213,360.305237,275.000000,101755.000000,1102.000000,669.000000,55.582716,1015.988571,1032.500000,931.000000,105.000000,201.795499,351.524086,272.000000,67639.000000,1102.000000,669.000000,56.780571,1013.486111,1031.000000,911.000000,105.000000,195.637364,346.713568,272.000000,49121.000000,1102.000000,669.000000,62.069110,1005.699482,1027.000000,879.000000,105.000000,179.461119,334.444349,268.000000,2431.000000,134.dcm
1039.000000,978.000000,16.393854,1008.038462,1006.500000,973.000000,115.000000,264.093534,421.603960,322.000000,58955.000000,1039.000000,961.000000,19.166598,1005.107143,1006.000000,949.000000,115.000000,259.666287,416.150000,321.500000,55087.000000,1039.000000,926.000000,34.365080,987.473684,996.000000,903.000000,115.000000,236.257117,388.678947,309.000000,36325.000000,1039.000000,891.000000,43.643007,976.953488,994.000000,886.000000,115.000000,223.879946,374.940541,303.000000,27355.000000,1039.000000,865.000000,50.785231,968.234043,988.000000,853.000000,115.000000,213.463010,363.900552,297.000000,20359.000000,1039.000000,823.000000,65.839786,949.418182,961.000000,815.000000,115.000000,191.576269,341.936416,292.000000,6937.000000,143.dcm
426.000000,386.000000,17.632829,401.750000,397.500000,1942.000000,182.000000,457.888518,570.430233,352.000000,47450.000000,426.000000,357.000000,25.173399,392.800000,392.000000,1942.000000,182.000000,460.009999,572.941176,347.000000,46736.000000,426.000000,264.000000,47.562422,325.227273,308.000000,1942.000000,182.000000,492.301528,639.838235,434.000000,36354.000000,426.000000,200.000000,62.498003,286.140000,283.500000,1942.000000,182.000000,483.587469,908.925000,731.500000,22050.000000,426.000000,182.000000,63.565165,284.098039,283.000000,1942.000000,420.000000,475.130109,927.564103,763.000000,21686.000000,426.000000,182.000000,63.565165,284.098039,283.000000,1942.000000,420.000000,475.130109,927.564103,763.000000,21686.000000,175.dcm
602.000000,555.000000,17.385852,580.625000,584.500000,548.000000,150.000000,109.756311,319.493151,294.000000,18678.000000,602.000000,519.000000,27.730849,563.000000,558.000000,499.000000,150.000000,96.030563,303.661765,284.500000,13330.000000,602.000000,497.000000,34.385767,554.333333,555.000000,483.000000,150.000000,91.149884,297.772727,281.500000,11338.000000,602.000000,452.000000,51.229156,526.045455,530.000000,420.000000,150.000000,74.173628,277.881356,274.000000,4822.000000,602.000000,420.000000,54.718142,521.434783,526.000000,406.000000,150.000000,72.372601,275.431034,273.000000,3982.000000,602.000000,371.000000,75.224550,485.093750,480.500000,354.000000,150.000000,56.216653,253.979592,255.000000,3078.000000,179.dcm
440.000000,440.000000,0.000000,440.000000,440.000000,1078.000000,161.000000,288.690053,444.550000,298.000000,35124.000000,440.000000,440.000000,0.000000,440.000000,440.000000,1078.000000,161.000000,288.690053,444.550000,298.000000,35124.000000,440.000000,440.000000,0.000000,440.000000,440.000000,1078.000000,161.000000,288.690053,444.550000,298.000000,35124.000000,440.000000,440.000000,0.000000,440.000000,440.000000,1078.000000,161.000000,288.690053,444.550000,298.000000,35124.000000,440.000000,440.000000,0.000000,440.000000,440.000000,1078.000000,161.000000,288.690053,444.550000,298.000000,35124.000000,440.000000,440.000000,0.000000,440.000000,440.000000,1078.000000,161.000000,288.690053,444.550000,298.000000,35124.000000,184.dcm
941.000000,899.000000,14.872794,919.000000,918.500000,864.000000,130.000000,221.300516,391.209877,311.000000,57862.000000,941.000000,899.000000,14.872794,919.000000,918.500000,864.000000,130.000000,221.300516,391.209877,311.000000,57862.000000,941.000000,834.000000,36.438392,883.384615,864.000000,814.000000,130.000000,202.659393,370.361290,302.000000,45922.000000,941.000000,769.000000,55.890992,844.772727,847.000000,751.000000,130.000000,179.040740,344.554795,276.500000,31720.000000,941.000000,728.000000,63.294720,829.307692,824.000000,711.000000,130.000000,168.234039,333.295775,270.500000,25766.000000,941.000000,672.000000,82.026712,793.828571,787.000000,655.000000,130.000000,144.535735,309.067669,264.000000,13322.000000,195.dcm
728.000000,714.000000,7.810250,719.000000,715.000000,761.000000,145.000000,174.845483,398.881356,374.500000,44911.000000,761.000000,702.000000,19.844395,731.000000,733.000000,659.000000,145.000000,154.479131,374.400000,350.000000,33143.000000,761.000000,655.000000,33.182672,719.615385,728.000000,639.000000,145.000000,150.961498,369.166667,344.000000,30515.000000,761.000000,574.000000,62.919726,655.266667,632.500000,558.000000,145.000000,120.168275,324.912088,299.000000,9909.000000,761.000000,535.000000,69.810704,639.771429,617.000000,522.000000,145.000000,110.543204,312.011628,288.000000,4441.000000,761.000000,495.000000,79.959380,620.439024,614.000000,490.000000,145.000000,100.070727,297.337500,276.000000,1651.000000,197.dcm
