angular_Second_Momentorg1,Contrastorg1,Correlationorg1,SoSVarianceorg1,inverse_Diff_Momentorg1,sum_Averageorg1,sum_Varianceorg1,sum_Entropyorg1,Entropyorg1,diff_Varianceorg1,diff_Entropyorg1,info_M_Correlation_1org1,info_M_Correlation_2org1,ImageName
0.0015726,14346.1972,136086936215.243,604998.1899,0.028423,1493.9456,2377551.4466,5.8772,6.4645,9.3477e-006,4.9494,-0.83258,0.99995,1000.dcm
0.016557,32533.8624,12016945055.0863,260920.4211,0.0073353,827.0599,979640.8734,4.0619,4.1018,2.3852e-005,3.9185,-0.98304,0.99983,10001.dcm
0.01845,32860.7005,11619534687.3533,286232.9824,0.0080897,875.4774,1061386.4003,3.955,3.9932,2.584e-005,3.8316,-0.98221,0.99979,10003.dcm
0.021635,28933.3913,9695267437.2225,284915.2542,0.012798,858.203,1060838.1542,3.8,3.8369,3.0347e-005,3.6865,-0.97861,0.9997,10006.dcm
0.007301,97129.5625,228981863546.0514,886791.3952,0.011807,1612.4514,3351197.5296,4.875,4.9199,3.9614e-006,4.7254,-0.97268,0.99996,10008.dcm
0.01141,105454.989,203733301790.7805,1160707.2227,0.013224,1963.0156,4415960.2557,4.4158,4.4739,5.7892e-006,4.3347,-0.9811,0.99991,10011.dcm
0.0091577,96779.5838,207731336944.0892,1017531.5858,0.014473,1763.556,3843393.5131,4.6467,4.6934,4.8357e-006,4.5227,-0.97026,0.99994,10014.dcm
0.0089304,94374.2788,206426002850.3561,976896.688,0.014124,1697.7136,3681882.1279,4.6728,4.7184,4.8116e-006,4.5319,-0.97136,0.99994,10017.dcm
0.02653,84606.3401,18308879489.0088,496000.9146,0.0018514,1153.9279,1782188.6149,3.6302,3.6302,2.3487e-005,3.5846,-0.98739,0.99958,10019.dcm
0.023816,77860.5314,20000086724.5075,476997.116,0.0029731,1112.0324,1718979.3349,3.7375,3.7375,2.0477e-005,3.6967,-0.9844,0.99966,10020.dcm
0.025675,528498.2471,181647153345.8996,2161877.7817,0.016843,2208.1447,7681288.0697,3.6629,3.6629,1.0493e-005,3.589,-0.98071,0.99962,10022.dcm
0.020531,472905.4975,184807735348.6247,1756926.0646,0.013956,1915.573,6375006.4258,3.8789,3.8862,8.2765e-006,3.8197,-0.9835,0.99975,10024.dcm
0.028452,439675.4283,139797036734.2122,1899695.8395,0.012843,1833.2571,6472392.9906,3.561,3.561,1.1603e-005,3.4838,-0.98322,0.99954,10025.dcm
0.0066057,87047.1119,160375984869.015,958918.8982,0.010032,1853.7453,3733638.9041,4.9555,5.0212,6.2115e-006,4.7723,-0.9568,0.99995,10030.dcm
0.0026614,94185.2161,442263431738.9497,788319.2931,0.0034021,1588.5254,3009639.9897,5.812,5.9289,2.4398e-006,5.4556,-0.9627,0.99999,10044.dcm
0.0062125,97608.0942,165065093760.2927,954749.6033,0.0097935,1833.0026,3660546.973,5.0109,5.0823,5.7898e-006,4.8377,-0.95511,0.99996,10053.dcm
0.0035372,96591.1782,397892430604.229,898396.2427,0.0026498,1751.5557,3475365.2501,5.5464,5.6449,2.9554e-006,5.2629,-0.97058,0.99999,10066.dcm
0.0049507,105641.1441,180996276735.1707,877097.0247,0.0098883,1738.1412,3401964.0807,5.2239,5.309,4.7359e-006,5.0271,-0.94788,0.99997,10078.dcm
0.0069483,93073.1589,149526711574.2434,972699.7897,0.0079423,1844.2735,3692397.4997,4.9159,4.9706,6.4889e-006,4.7344,-0.9561,0.99995,10085.dcm
0.0033255,68251.4021,335037349672.1459,816168.5543,0.006286,1648.0078,3151330.0733,5.6045,5.7062,2.9479e-006,5.3123,-0.95883,0.99999,10097.dcm
0.0047293,21654.392,77006321081.2466,494175.9282,0.020037,1282.172,1919622.4084,5.1912,5.3541,9.723e-006,4.7459,-0.94338,0.99997,10104.dcm
0.0044407,21884.6024,98651041944.9659,450758.9384,0.0095166,1165.6398,1734813.5851,5.318,5.4171,7.304e-006,4.8809,-0.964,0.99998,10109.dcm
0.0052092,21573.2714,68652050557.2509,509774.1147,0.020194,1318.2392,1967458.2303,5.0854,5.2574,1.0588e-005,4.6733,-0.94079,0.99996,10114.dcm
0.0072744,20305.5516,77754245135.6683,621296.5063,0.011713,1452.3263,2373314.5252,4.8267,4.9235,1.0003e-005,4.5657,-0.9653,0.99995,10118.dcm
0.0011491,12124.1596,238521612640.9595,552538.9592,0.025484,1367.3568,2162458.7274,6.2512,6.776,7.548e-006,4.9891,-0.85654,0.99998,1012.dcm
0.041162,168784.5663,46290176349.4731,1048494.4275,0.00019473,1761.1004,4061495.2071,3.1944,3.1944,2.1566e-005,3.182,-1,0.99915,10122.dcm
0.0052503,21161.0013,68230937096.725,509337.7487,0.020387,1322.6842,1978658.8721,5.0744,5.2496,1.0736e-005,4.6649,-0.94019,0.99996,10125.dcm
0.0076806,20950.8777,74946981317.7722,639219.4495,0.01221,1504.4747,2450351.9493,4.7669,4.8693,1.0359e-005,4.5334,-0.96472,0.99994,10129.dcm
0.033932,149641.0261,49515929447.7936,901967.4693,0.0013388,1606.5162,3569840.6528,3.3881,3.3881,1.8029e-005,3.3653,-1,0.99942,10132.dcm
0.0061076,22764.4143,91431095687.4023,580844.0466,0.0099479,1399.6654,2234196.4207,5.0041,5.0983,8.5953e-006,4.7094,-0.96914,0.99997,10136.dcm
0.0053637,18757.7383,72515916727.0445,536348.3326,0.02411,1321.1327,2060605.0338,5.0456,5.2283,1.1254e-005,4.5988,-0.9415,0.99995,10140.dcm
0.013308,15112.103,10632202987.5246,190110.705,0.0070513,754.1176,725297.1246,4.2879,4.3201,2.2476e-005,4.1042,-0.99571,0.9999,10144.dcm
0.014222,13180.1463,9268735106.2525,185059.5324,0.0078202,707.8279,684516.1072,4.2152,4.2543,2.5065e-005,4.0116,-0.99297,0.99989,10149.dcm
0.018429,11676.809,8313314614.4305,208030.0255,0.0066294,785.7305,789532.1157,3.971,3.996,3.03e-005,3.8157,-0.99694,0.99983,10151.dcm
0.014343,15170.1884,12595755279.5211,239115.6518,0.006281,851.834,891415.3464,4.215,4.2447,2.2197e-005,4.0554,-0.99291,0.99989,10154.dcm
0.0018257,22615.6825,256029169200.7827,535173.3211,0.017438,1304.2734,2089143.9949,6.1004,6.3066,5.375e-006,5.2344,-0.9288,0.99999,10158.dcm
0.0022793,19108.0706,215017781585.755,603562.7418,0.019474,1417.8957,2353764.1754,5.8843,6.085,6.3245e-006,5.0893,-0.92774,0.99999,10165.dcm
0.0022793,20543.3877,218051761564.8353,630865.306,0.017884,1466.3411,2447671.2742,5.8832,6.085,5.9996e-006,5.1291,-0.9235,0.99999,10173.dcm
0.0040791,20520.5508,144604147470.4844,621189.6276,0.02739,1426.9964,2422898.7324,5.3588,5.5021,9.0233e-006,4.7869,-0.96274,0.99998,10181.dcm
0.0064338,22808.7914,86096544387.4717,650015.4159,0.026561,1500.4896,2544520.4064,4.9228,5.0474,1.0845e-005,4.5785,-0.95509,0.99995,10186.dcm
0.025386,23573.4812,10591241448.0632,346816.6107,0.011158,1034.62,1281007.2739,3.648,3.6749,3.2175e-005,3.6152,-0.99529,0.99967,1019.dcm
0.0077713,81964.313,163252328882.9143,1074308.2495,0.0044689,1866.9472,4016791.7059,4.7684,4.8576,6.772e-006,4.6367,-0.96548,0.99994,10190.dcm
0.0056513,86738.513,179146220105.5634,824929.15,0.0046464,1553.1933,3159310.7067,5.0928,5.176,5.1453e-006,4.9094,-0.96708,0.99997,10193.dcm
0.011085,87960.0174,54515144776.584,523677.6955,0.0077324,1153.3005,1978960.3052,4.4757,4.5024,1.0139e-005,4.3176,-0.98053,0.99992,10195.dcm
0.0073563,81968.6059,165717934346.1169,1034760.0414,0.0042355,1826.5333,3904241.2442,4.8255,4.9124,6.4688e-006,4.6848,-0.96436,0.99995,10197.dcm
0.016009,97578.7764,51038419283.0778,719144.184,0.0064985,1441.6668,2695955.2221,4.1186,4.1349,1.3106e-005,4.0402,-0.97955,0.99982,10199.dcm
0.022548,40528.2392,12383667111.3009,340376.1595,0.0064222,981.1598,1235057.442,3.7701,3.7938,2.4932e-005,3.7222,-0.97729,0.99968,10200.dcm
0.018045,37639.3945,12758360542.485,269569.8488,0.0052308,871.8562,1044482.9731,3.9902,4.0156,2.0625e-005,3.9129,-0.9778,0.99977,10203.dcm
0.0071838,66130.6764,142929724499.6027,863043.2341,0.0053247,1533.5183,3197394.8196,4.8561,4.9361,6.558e-006,4.6786,-0.96812,0.99995,10205.dcm
0.013164,25145.0866,19897344705.441,314996.6008,0.006944,980.8551,1189652.6661,4.2852,4.3305,1.7189e-005,4.1709,-0.98405,0.99989,10207.dcm
0.014555,18624.0195,9829137189.704,234207.7536,0.010129,842.0899,880641.2802,4.1747,4.2301,2.4348e-005,4.039,-0.96748,0.99983,10209.dcm
0.013387,22792.6751,17876085648.5723,303776.8767,0.0081415,921.1569,1117613.3891,4.2725,4.3138,1.755e-005,4.1426,-0.97705,0.99988,10212.dcm
0.012906,16962.0462,10627366080.4684,217541.501,0.010387,783.984,820474.0807,4.2964,4.3502,2.3976e-005,4.0693,-0.96891,0.99987,10214.dcm
0.012869,24628.9822,19924588564.2027,308186.4495,0.0068113,962.635,1163506.0941,4.309,4.3532,1.6971e-005,4.1839,-0.98342,0.99989,10217.dcm
0.014934,18660.3991,9591741925.6172,237088.4444,0.010383,846.6983,887939.5357,4.1526,4.2044,2.5208e-005,4.0081,-0.96639,0.99981,10219.dcm
0.014041,25308.3391,18072424079.7971,309732.0505,0.0070305,964.4477,1161233.8618,4.2273,4.266,1.827e-005,4.1148,-0.98384,0.99987,10222.dcm
0.016042,16207.212,8632412924.2593,234775.3179,0.012138,802.6326,857010.9698,4.09,4.1339,2.8463e-005,3.901,-0.96475,0.99979,10224.dcm
0.01614,104547.72,57110370905.6145,807125.195,0.0071144,1490.063,2950383.731,4.0821,4.1268,1.3351e-005,4.0118,-0.97935,0.99983,10226.dcm
0.029884,38708.0839,5408261074.9064,230347.8405,0.003441,709.6916,775848.9087,3.4903,3.511,3.8623e-005,3.4287,-1,0.99955,10229.dcm
0.0038989,13579.8156,58896264626.1985,478484.9638,0.025047,1237.4042,1851107.0276,5.2355,5.5535,1.6326e-005,4.4921,-0.89545,0.99994,1023.dcm
0.01614,104547.72,57110370905.6145,807125.195,0.0071144,1490.063,2950383.731,4.0821,4.1268,1.3351e-005,4.0118,-0.97935,0.99983,10231.dcm
0.014646,107936.9759,46334523641.3945,625427.3297,0.010021,1260.527,2318290.7518,4.1896,4.2252,1.2108e-005,4.1007,-0.96802,0.99983,10234.dcm
