fgMaxorg1,fgMinorg1,fgStdevorg1,fgMeanorg1,fgMedianorg1,bgMaxorg1,bgMinorg1,bgStdevorg1,bgMeanorg1,bgMedianorg1,sumIntensityorg1,ImageName
1149.000000,215.000000,208.445222,903.199095,1009.000000,969.000000,158.000000,286.526110,456.495614,307.500000,494740.000000,1000.dcm
1030.000000,201.000000,286.057987,587.147059,544.000000,593.000000,192.000000,143.821159,334.230769,306.000000,35581.000000,10001.dcm
1030.000000,201.000000,279.877979,635.034483,672.000000,593.000000,192.000000,128.789407,323.434783,259.000000,29393.000000,10003.dcm
1030.000000,208.000000,294.347969,639.411765,681.000000,776.000000,199.000000,158.285502,310.000000,243.000000,26100.000000,10006.dcm
2296.000000,1.000000,453.928826,804.335664,941.000000,1273.000000,0.000000,341.844298,334.447761,191.000000,92612.000000,10008.dcm
2296.000000,82.000000,406.533104,968.958763,1036.000000,967.000000,0.000000,332.911186,521.695652,535.000000,81990.000000,10011.dcm
2296.000000,1.000000,440.249284,896.166667,998.500000,1004.000000,0.000000,347.236074,424.672727,402.000000,78806.000000,10014.dcm
2296.000000,1.000000,458.504458,871.826087,992.000000,1075.000000,0.000000,348.950907,419.197531,343.000000,66305.000000,10017.dcm
1238.000000,71.000000,373.658760,632.095238,606.000000,738.000000,104.000000,206.622119,317.000000,281.000000,19891.000000,10019.dcm
1238.000000,71.000000,373.767275,617.477273,556.500000,738.000000,48.000000,197.533481,286.928571,189.500000,19135.000000,10020.dcm
2688.000000,17.000000,880.908763,1113.116279,953.000000,1088.000000,0.000000,357.499930,347.100000,191.500000,40922.000000,10022.dcm
2688.000000,17.000000,871.968291,965.250000,703.500000,956.000000,0.000000,269.814569,297.517241,194.000000,41565.000000,10024.dcm
2688.000000,17.000000,946.442228,936.902439,518.000000,2033.000000,0.000000,553.620751,344.538462,120.000000,33934.000000,10025.dcm
1364.000000,23.000000,315.717563,923.129630,1048.000000,1196.000000,0.000000,411.095965,263.727273,75.000000,140844.000000,10030.dcm
1791.000000,19.000000,383.781936,796.738786,878.000000,1223.000000,0.000000,168.560382,300.101124,279.000000,221837.000000,10044.dcm
1364.000000,23.000000,311.593470,919.748503,1045.000000,1196.000000,0.000000,381.179108,304.431034,134.500000,135941.000000,10053.dcm
1791.000000,19.000000,363.870747,865.886667,961.000000,694.000000,0.000000,135.279505,305.745455,295.000000,209318.000000,10066.dcm
1364.000000,10.000000,347.927019,868.814634,1012.000000,1163.000000,0.000000,413.776616,341.635593,144.500000,137794.000000,10078.dcm
1364.000000,10.000000,304.581069,924.539474,1044.500000,1233.000000,0.000000,439.601715,351.227273,134.500000,125076.000000,10085.dcm
1683.000000,8.000000,358.134356,823.071661,938.000000,1199.000000,0.000000,244.588753,342.288000,265.000000,209897.000000,10097.dcm
1150.000000,227.000000,277.606900,836.811927,950.000000,660.000000,202.000000,106.921518,344.136364,304.000000,152141.000000,10104.dcm
1206.000000,174.000000,317.403851,708.892241,690.000000,905.000000,128.000000,137.613043,248.969388,203.000000,140064.000000,10109.dcm
1150.000000,270.000000,252.579675,881.000000,1008.000000,727.000000,221.000000,111.597424,369.539474,331.500000,144591.000000,10114.dcm
1206.000000,203.000000,255.609809,874.860140,958.000000,1009.000000,139.000000,239.127337,409.582090,323.000000,97663.000000,10118.dcm
1149.000000,109.000000,281.438116,794.993289,896.500000,1272.000000,142.000000,386.194807,600.986649,444.000000,189554.000000,1012.dcm
2020.000000,200.000000,531.191847,1004.275862,841.000000,1140.000000,106.000000,311.170138,328.636364,192.000000,25509.000000,10122.dcm
1150.000000,270.000000,253.589326,877.656566,1004.500000,727.000000,221.000000,120.578782,367.824324,323.500000,146557.000000,10125.dcm
1206.000000,334.000000,227.547134,900.949275,964.500000,1009.000000,151.000000,224.127587,424.433735,381.000000,89103.000000,10129.dcm
2020.000000,180.000000,533.457892,922.171429,796.000000,819.000000,106.000000,195.827693,278.526316,219.000000,26984.000000,10132.dcm
1206.000000,203.000000,267.196135,832.656805,903.000000,1009.000000,128.000000,198.299037,342.188406,267.000000,117108.000000,10136.dcm
1150.000000,260.000000,291.497422,847.251309,1016.000000,1028.000000,183.000000,186.034483,395.345679,330.000000,129802.000000,10140.dcm
919.000000,193.000000,208.817578,557.891566,578.000000,541.000000,191.000000,113.209816,307.937500,270.000000,41378.000000,10144.dcm
919.000000,191.000000,228.676043,531.537500,528.500000,726.000000,213.000000,147.684051,458.368421,449.000000,33814.000000,10149.dcm
919.000000,193.000000,227.059040,569.790323,582.500000,797.000000,221.000000,165.514251,488.555556,456.000000,26533.000000,10151.dcm
919.000000,168.000000,209.801978,579.863014,599.000000,579.000000,146.000000,118.215720,267.648649,207.000000,32427.000000,10154.dcm
1153.000000,92.000000,323.512597,714.906810,793.500000,520.000000,65.000000,78.876694,166.653951,144.000000,337756.000000,10158.dcm
1153.000000,117.000000,304.134656,780.265169,871.000000,1100.000000,69.000000,200.722013,246.873846,168.000000,266984.000000,10165.dcm
1153.000000,105.000000,282.394205,806.724832,892.000000,871.000000,69.000000,143.666507,216.930168,163.500000,282945.000000,10173.dcm
1146.000000,101.000000,329.809330,802.368627,916.000000,1026.000000,103.000000,207.634853,347.953846,292.000000,181987.000000,10181.dcm
1126.000000,139.000000,285.576089,842.503030,969.000000,1078.000000,96.000000,311.077433,423.790698,359.000000,120790.000000,10186.dcm
982.000000,191.000000,250.186195,674.391304,744.000000,871.000000,165.000000,248.507657,549.500000,641.000000,25527.000000,1019.dcm
1461.000000,20.000000,388.694394,934.536765,1106.000000,907.000000,0.000000,193.346297,197.172414,121.000000,121379.000000,10190.dcm
1461.000000,8.000000,459.643330,766.327869,953.000000,551.000000,0.000000,113.059755,166.144928,145.000000,128774.000000,10193.dcm
1332.000000,2.000000,427.971640,563.905263,465.000000,336.000000,0.000000,82.966019,131.972973,135.000000,48688.000000,10195.dcm
1461.000000,8.000000,408.907377,909.542254,1091.000000,947.000000,0.000000,208.592367,246.000000,175.500000,116855.000000,10197.dcm
1332.000000,2.000000,421.172994,711.283582,738.000000,615.000000,0.000000,137.820844,154.695652,139.000000,44098.000000,10199.dcm
1065.000000,105.000000,285.530503,571.692308,548.000000,720.000000,126.000000,213.335204,412.500000,387.500000,24778.000000,10200.dcm
1065.000000,105.000000,285.306450,539.213115,499.000000,634.000000,131.000000,152.717049,307.947368,252.000000,27041.000000,10203.dcm
1461.000000,7.000000,481.306777,776.755102,1021.000000,1298.000000,0.000000,407.788511,399.684211,195.000000,91401.000000,10205.dcm
1062.000000,166.000000,251.955043,655.135802,696.000000,621.000000,181.000000,101.100119,277.655172,239.000000,45014.000000,10207.dcm
829.000000,160.000000,220.097328,523.351351,542.000000,487.000000,107.000000,112.257924,217.192308,166.500000,33081.000000,10209.dcm
1062.000000,166.000000,272.059374,628.493827,696.000000,621.000000,181.000000,94.617030,260.166667,234.000000,46225.000000,10212.dcm
829.000000,125.000000,234.370955,493.074074,502.000000,487.000000,97.000000,100.864001,200.758621,156.000000,34117.000000,10214.dcm
1062.000000,166.000000,256.025703,645.759036,689.000000,621.000000,181.000000,104.685379,278.518519,236.000000,46078.000000,10217.dcm
829.000000,160.000000,219.307991,527.569444,542.000000,564.000000,107.000000,126.692792,228.214286,176.000000,31595.000000,10219.dcm
1062.000000,186.000000,252.519246,651.054054,692.500000,995.000000,166.000000,219.948623,359.444444,250.500000,35238.000000,10222.dcm
829.000000,125.000000,247.491593,502.029412,542.000000,659.000000,107.000000,172.029495,302.636364,223.000000,27480.000000,10224.dcm
1363.000000,15.000000,461.958014,753.716418,1043.000000,1015.000000,0.000000,218.213190,288.606061,207.000000,40975.000000,10226.dcm
898.000000,64.000000,286.694344,426.729730,433.000000,669.000000,115.000000,163.066915,269.473684,200.000000,10669.000000,10229.dcm
1059.000000,197.000000,297.821618,779.927007,961.500000,935.000000,170.000000,211.451626,399.029412,291.500000,186566.000000,1023.dcm
1363.000000,15.000000,461.958014,753.716418,1043.000000,1015.000000,0.000000,218.213190,288.606061,207.000000,40975.000000,10231.dcm
1363.000000,15.000000,459.092623,602.533333,414.000000,1218.000000,0.000000,446.897333,593.320000,553.000000,30357.000000,10234.dcm
1219.000000,123.000000,294.240364,752.773973,778.500000,1168.000000,148.000000,307.354054,686.341270,672.000000,133331.000000,10238.dcm
1219.000000,246.000000,214.615473,926.187500,990.000000,1176.000000,141.000000,272.027716,621.303571,570.000000,78604.000000,10243.dcm
1219.000000,123.000000,271.621358,801.072650,838.000000,1176.000000,141.000000,288.797006,684.715686,665.000000,117610.000000,10249.dcm
1049.000000,257.000000,247.053137,667.504854,658.000000,1016.000000,209.000000,261.458300,573.566038,409.000000,38354.000000,10253.dcm
956.000000,221.000000,183.467319,743.793893,811.000000,720.000000,269.000000,108.982676,469.558824,460.000000,81472.000000,10256.dcm
1049.000000,288.000000,232.025715,720.622642,748.500000,883.000000,304.000000,213.948840,578.884615,541.000000,61335.000000,10261.dcm
956.000000,312.000000,177.648342,738.362319,792.500000,728.000000,341.000000,112.939619,529.233333,543.000000,86017.000000,10264.dcm
956.000000,312.000000,166.015980,733.420000,771.500000,720.000000,318.000000,113.615012,487.875000,500.000000,94401.000000,10267.dcm
1049.000000,293.000000,208.527069,745.044643,776.500000,967.000000,258.000000,212.199599,524.068182,416.500000,60386.000000,10269.dcm
1059.000000,197.000000,260.547281,824.260536,977.000000,770.000000,170.000000,140.422456,317.308642,273.000000,189430.000000,1027.dcm
956.000000,312.000000,186.574168,735.941176,807.000000,902.000000,341.000000,155.861180,616.204082,640.000000,57383.000000,10272.dcm
1049.000000,233.000000,252.981658,672.909910,688.000000,941.000000,209.000000,250.590740,537.911111,396.000000,50487.000000,10275.dcm
1288.000000,81.000000,279.773423,958.034884,1062.500000,1230.000000,98.000000,289.249972,927.428571,1030.500000,73894.000000,10279.dcm
1288.000000,81.000000,249.382547,995.633987,1083.000000,1230.000000,98.000000,299.130636,903.245098,1026.000000,60201.000000,10285.dcm
1288.000000,133.000000,233.481511,1000.631285,1065.000000,1270.000000,49.000000,338.472865,851.737589,1012.000000,59018.000000,10291.dcm
1288.000000,49.000000,295.478748,947.060773,1058.000000,1270.000000,81.000000,259.051768,943.753521,1030.000000,37405.000000,10298.dcm
1102.000000,245.000000,210.248527,885.025000,982.500000,770.000000,128.000000,144.833003,338.178571,290.000000,400924.000000,103.dcm
