Areaorg1,MajorAxisLengthorg1,MinorAxisLengthorg1,Eccentricityorg1,ConvexAreaorg1,EquivDiameterorg1,Solidityorg1,Extentorg1,Perimeterorg1,ConvexPerimeterorg1,Circularityorg1,Roughnessorg1,Elongationorg1,Compactnessorg1,MaxChordLengthorg1,RadialDistanceSDorg1,SecondMomentorg1,ImageName
663.000000,35.941684,25.171714,0.713801,742.000000,29.054394,0.893531,0.744108,110.669048,101.450386,0.809498,0.916701,1.427860,1.470039,35.510562,2.735563,0.181255,1000.dcm
68.000000,9.476493,9.221108,0.230591,68.000000,9.304853,1.000000,0.839506,30.142136,29.963990,0.951743,0.994090,1.027696,1.063235,9.848858,0.211101,0.158241,10001.dcm
58.000000,9.520182,7.892830,0.559155,61.000000,8.593480,0.950820,0.716049,28.970563,28.184190,0.917544,0.972856,1.206181,1.151532,9.848858,0.392385,0.161922,10003.dcm
51.000000,8.530208,7.860659,0.388358,52.000000,8.058239,0.980769,0.708333,26.970563,26.792417,0.892804,0.993395,1.085177,1.135011,9.219544,0.366997,0.161627,10006.dcm
143.000000,13.808106,13.538113,0.196784,152.000000,13.493452,0.940789,0.680952,51.355339,45.016467,0.886754,0.876568,1.019943,1.467659,15.033296,0.544222,0.162272,10008.dcm
97.000000,12.048846,10.393092,0.505921,100.000000,11.113246,0.970000,0.808333,36.970563,36.436126,0.918158,0.985544,1.159313,1.121322,12.369317,0.435820,0.161420,10011.dcm
114.000000,12.404498,11.937346,0.271848,119.000000,12.047793,0.957983,0.674556,41.455844,39.936104,0.898221,0.963341,1.039134,1.199656,13.601471,0.422440,0.161023,10014.dcm
115.000000,12.674263,11.933816,0.336793,124.000000,12.100518,0.927419,0.586735,45.941125,41.339518,0.845623,0.899837,1.062046,1.460480,14.317821,0.560215,0.163253,10017.dcm
42.000000,8.162192,6.770614,0.558493,42.000000,7.312733,1.000000,0.666667,24.384776,24.384776,0.887609,1.000000,1.205532,1.126622,9.055385,0.384382,0.163387,10019.dcm
44.000000,8.032487,7.292385,0.419271,46.000000,7.484821,0.956522,0.611111,25.798990,25.324178,0.862168,0.981596,1.101490,1.203768,9.055385,0.411216,0.163399,10020.dcm
43.000000,9.324426,6.489394,0.718084,48.000000,7.399277,0.895833,0.682540,26.970563,25.533909,0.828789,0.946733,1.436872,1.346176,9.219544,0.822780,0.183707,10022.dcm
52.000000,9.283619,7.751810,0.550252,55.000000,8.136858,0.945455,0.641975,27.798990,27.547054,0.861118,0.990937,1.197607,1.182619,9.486833,0.805434,0.172608,10024.dcm
41.000000,9.238606,6.088688,0.752101,43.000000,7.225152,0.953488,0.759259,24.727922,24.549776,0.854867,0.992796,1.517339,1.186811,9.219544,0.837849,0.182557,10025.dcm
162.000000,16.026465,13.029547,0.582261,167.000000,14.361922,0.970060,0.830769,48.970563,47.355763,0.907777,0.967025,1.230009,1.178000,17.029386,0.652802,0.163561,10030.dcm
379.000000,36.253405,13.936193,0.923162,422.000000,21.967198,0.898104,0.586687,93.154329,84.183172,0.672045,0.903696,2.601385,1.822036,34.928498,3.823273,0.248328,10044.dcm
167.000000,16.262132,13.229782,0.581519,173.000000,14.581872,0.965318,0.742222,50.870058,47.818604,0.917767,0.940015,1.229206,1.233100,16.643317,0.652450,0.163480,10053.dcm
300.000000,31.984125,12.859635,0.915612,328.000000,19.544100,0.914634,0.645161,82.870058,77.139147,0.633551,0.930845,2.487172,1.821647,32.280025,3.638981,0.247018,10066.dcm
205.000000,18.775948,14.318837,0.646852,219.000000,16.155931,0.936073,0.634675,63.840620,54.421444,0.869808,0.852458,1.311276,1.582087,19.924859,1.072276,0.169176,10078.dcm
152.000000,15.138002,13.004365,0.511885,160.000000,13.911593,0.950000,0.775510,52.284271,45.736689,0.913112,0.874770,1.164071,1.431162,15.652476,0.576519,0.162667,10085.dcm
307.000000,23.874795,17.530213,0.678873,365.000000,19.770800,0.841096,0.710648,82.426407,71.659256,0.751283,0.869373,1.361923,1.761102,25.806976,1.704030,0.178063,10097.dcm
218.000000,18.211609,15.505971,0.524463,231.000000,16.660319,0.943723,0.712418,57.698485,55.434838,0.891458,0.960768,1.174490,1.215241,19.209373,0.688573,0.163254,10104.dcm
232.000000,21.437220,14.016262,0.756643,240.000000,17.186959,0.966667,0.703030,60.526912,57.913396,0.869240,0.956821,1.529453,1.256606,22.203603,1.447654,0.176008,10109.dcm
196.000000,17.444558,14.503646,0.555654,202.000000,15.797308,0.970297,0.720588,53.112698,51.727394,0.920502,0.973918,1.202771,1.145330,17.720045,0.651358,0.163266,10114.dcm
143.000000,15.609259,12.143197,0.628328,150.000000,13.493452,0.953333,0.680952,46.870058,45.461355,0.869483,0.969945,1.285432,1.222489,15.811388,0.929740,0.169773,10118.dcm
894.000000,49.728641,32.621803,0.754764,1445.000000,33.738348,0.618685,0.373746,219.722871,153.775216,0.475089,0.699860,1.524399,4.297374,62.128898,6.089719,0.247095,1012.dcm
29.000000,7.604622,5.121056,0.739266,29.000000,6.076508,1.000000,0.725000,20.727922,20.727922,0.848196,1.000000,1.484971,1.178972,8.062258,0.585653,0.175407,10122.dcm
198.000000,17.514467,14.572208,0.554761,203.000000,15.877702,0.975369,0.727941,53.112698,51.831749,0.926154,0.975882,1.201909,1.133761,17.492856,0.631433,0.163017,10125.dcm
138.000000,15.975908,11.744923,0.677889,156.000000,13.255454,0.884615,0.624434,51.455844,47.292489,0.775362,0.919089,1.360239,1.526794,17.262677,1.129669,0.176860,10129.dcm
35.000000,8.541377,5.590126,0.756083,35.000000,6.675581,1.000000,0.648148,23.556349,23.378204,0.804740,0.992437,1.527940,1.261648,9.055385,0.712305,0.181318,10132.dcm
169.000000,17.194233,12.912481,0.660328,180.000000,14.668929,0.938889,0.710084,52.041631,49.522739,0.865939,0.951599,1.331598,1.275279,17.464249,1.008153,0.170010,10136.dcm
191.000000,17.857944,13.907087,0.627320,194.000000,15.594510,0.984536,0.702206,52.526912,51.749834,0.896242,0.985206,1.284089,1.149531,18.027756,0.876820,0.166769,10140.dcm
83.000000,11.720532,9.100834,0.630134,83.000000,10.280023,1.000000,0.838384,33.556349,33.556349,0.926272,1.000000,1.287853,1.079596,12.083046,0.520049,0.163802,10144.dcm
80.000000,12.227980,8.756751,0.697973,84.000000,10.092530,0.952381,0.808081,35.313708,34.440365,0.847548,0.975269,1.396406,1.240472,12.529964,0.832196,0.174639,10149.dcm
62.000000,10.239593,8.003025,0.623809,66.000000,8.884866,0.939394,0.775000,30.142136,29.607699,0.888776,0.982269,1.279465,1.166129,10.440307,0.597713,0.167572,10151.dcm
73.000000,11.071468,8.965936,0.586674,78.000000,9.640876,0.935897,0.663636,34.627417,33.264553,0.829028,0.960642,1.234837,1.307096,12.083046,0.681411,0.171489,10154.dcm
558.000000,42.568932,18.169411,0.904335,653.000000,26.654599,0.854518,0.603243,113.053824,100.925783,0.688398,0.892723,2.342890,1.822747,41.182521,4.509254,0.239648,10158.dcm
445.000000,39.561027,15.160976,0.923653,515.000000,23.803185,0.864078,0.577922,99.597980,92.839156,0.648795,0.932139,2.609399,1.773908,39.357337,4.241995,0.251722,10165.dcm
447.000000,40.640749,15.879531,0.920506,556.000000,23.856615,0.803957,0.555280,106.811183,94.162098,0.633527,0.881575,2.559317,2.031029,38.910153,4.577271,0.265823,10173.dcm
255.000000,20.957488,15.748231,0.659805,264.000000,18.018770,0.965909,0.796875,61.455844,59.842704,0.894803,0.973751,1.330784,1.178627,21.954498,1.087028,0.167783,10181.dcm
165.000000,16.653378,13.498017,0.585701,182.000000,14.494293,0.906593,0.793269,54.041631,50.104623,0.825920,0.927149,1.233765,1.408520,17.464249,1.210416,0.173055,10186.dcm
46.000000,8.274714,7.174515,0.498237,46.000000,7.653040,1.000000,0.821429,24.727922,24.727922,0.945350,1.000000,1.153348,1.057810,8.544004,0.276510,0.159345,1019.dcm
136.000000,15.322740,11.507844,0.660268,142.000000,13.159049,0.957746,0.824242,44.970563,43.763404,0.892332,0.973157,1.331504,1.183335,15.524175,0.810963,0.167532,10190.dcm
183.000000,17.384328,13.551612,0.626364,188.000000,15.264430,0.973404,0.726190,51.112698,50.074390,0.917127,0.979686,1.282824,1.136048,18.248288,0.795751,0.165025,10193.dcm
95.000000,12.238562,10.183689,0.554628,98.000000,10.998080,0.969388,0.719697,36.627417,36.336309,0.904174,0.992052,1.201781,1.123774,12.649111,0.620862,0.165015,10195.dcm
142.000000,15.711224,11.626617,0.672585,148.000000,13.446190,0.959459,0.739583,46.041631,44.313180,0.908725,0.962459,1.351315,1.187964,16.278821,0.807765,0.166969,10197.dcm
67.000000,10.499122,8.385738,0.601718,69.000000,9.236182,0.971014,0.744444,30.970563,30.501309,0.904998,0.984848,1.252021,1.139236,10.770330,0.576624,0.165938,10199.dcm
52.000000,8.504953,8.015215,0.334439,53.000000,8.136858,0.981132,0.812500,26.727922,26.549776,0.927025,0.993335,1.061101,1.093244,8.944272,0.344101,0.160951,10200.dcm
61.000000,10.375522,7.597641,0.681019,62.000000,8.812923,0.983871,0.762500,29.556349,29.021912,0.910097,0.981918,1.365624,1.139625,10.770330,0.559359,0.166710,10203.dcm
147.000000,16.941328,11.272286,0.746512,153.000000,13.680870,0.960784,0.720588,47.455844,46.008892,0.872657,0.969509,1.502918,1.219136,17.720045,1.090411,0.174918,10205.dcm
81.000000,10.837876,9.723473,0.441675,81.000000,10.155413,1.000000,0.736364,33.213203,33.213203,0.922727,1.000000,1.114610,1.083744,11.401754,0.387993,0.161527,10207.dcm
74.000000,10.632290,9.017930,0.529733,75.000000,9.706685,0.986667,0.740000,31.798990,31.620844,0.930025,0.994398,1.179017,1.087389,10.770330,0.387462,0.161910,10209.dcm
81.000000,11.263979,9.332407,0.559963,81.000000,10.155413,1.000000,0.818182,33.556349,33.200058,0.923458,0.989382,1.206975,1.106253,11.401754,0.505645,0.163043,10212.dcm
81.000000,11.035883,9.539904,0.502729,84.000000,10.155413,0.964286,0.736364,34.384776,33.411651,0.911799,0.971699,1.156813,1.161549,11.704700,0.463495,0.162140,10214.dcm
