angular_Second_Momentrg1,Contrastrg1,Correlationrg1,SoSVariancerg1,inverse_Diff_Momentrg1,sum_Averagerg1,sum_Variancerg1,sum_Entropyrg1,Entropyrg1,diff_Variancerg1,diff_Entropyrg1,info_M_Correlation_1rg1,info_M_Correlation_2rg1,angular_Second_Momentrg2,Contrastrg2,Correlationrg2,SoSVariancerg2,inverse_Diff_Momentrg2,sum_Averagerg2,sum_Variancerg2,sum_Entropyrg2,Entropyrg2,diff_Variancerg2,diff_Entropyrg2,info_M_Correlation_1rg2,info_M_Correlation_2rg2,angular_Second_Momentrg3,Contrastrg3,Correlationrg3,SoSVariancerg3,inverse_Diff_Momentrg3,sum_Averagerg3,sum_Variancerg3,sum_Entropyrg3,Entropyrg3,diff_Variancerg3,diff_Entropyrg3,info_M_Correlation_1rg3,info_M_Correlation_2rg3,angular_Second_Momentrg4,Contrastrg4,Correlationrg4,SoSVariancerg4,inverse_Diff_Momentrg4,sum_Averagerg4,sum_Variancerg4,sum_Entropyrg4,Entropyrg4,diff_Variancerg4,diff_Entropyrg4,info_M_Correlation_1rg4,info_M_Correlation_2rg4,angular_Second_Momentrg5,Contrastrg5,Correlationrg5,SoSVariancerg5,inverse_Diff_Momentrg5,sum_Averagerg5,sum_Variancerg5,sum_Entropyrg5,Entropyrg5,diff_Variancerg5,diff_Entropyrg5,info_M_Correlation_1rg5,info_M_Correlation_2rg5,angular_Second_Momentrg6,Contrastrg6,Correlationrg6,SoSVariancerg6,inverse_Diff_Momentrg6,sum_Averagerg6,sum_Variancerg6,sum_Entropyrg6,Entropyrg6,diff_Variancerg6,diff_Entropyrg6,info_M_Correlation_1rg6,info_M_Correlation_2rg6,ImageName
0.0034078,930.8025,82958385109.1275,1049019.5463,0.055199,2050.1815,4185676.2272,4.7866,5.7015,2.1138e-05,3.8582,-0.66683,0.99868,0.0017838,2813.5437,132331313698.6204,1085880.4556,0.044642,2073.4017,4282918.0516,5.2891,6.3464,1.6314e-05,4.1727,-0.65452,0.99914,0.0016287,3197.8552,147615309287.9104,1083205.0493,0.043223,2069.8444,4269565.9905,5.4017,6.4362,1.5416e-05,4.2431,-0.67114,0.99935,0.001534,3748.3049,160178750414.9367,1070442.6317,0.041209,2056.8697,4219077.2487,5.4961,6.4953,1.4459e-05,4.3211,-0.6902,0.99952,0.0014996,4082.943,165055866096.8718,1066224.3575,0.040882,2052.1809,4200921.2815,5.5271,6.5177,1.4062e-05,4.3518,-0.69693,0.99957,0.0014731,4275.8697,169020871287.3359,1062327.5937,0.040284,2048.3824,4186176.3418,5.5557,6.5353,1.3734e-05,4.3781,-0.70166,0.9996,4.dcm
0.04,4544.02,5129755583.549,119109.9599,0.022594,679.8,462723.6588,3.1357,3.2189,2.2089e-05,3.0889,-0.93999,0.99858,0.007407,3275.4191,17273881908.5762,108105.2793,0.020786,651.9301,424722.5034,4.639,4.9076,7.9367e-06,4.1988,-0.86486,0.99979,0.0018933,3606.6285,40732606878.3736,109729.6486,0.022148,640.1915,420085.8362,5.6479,6.2744,5.4775e-06,4.5956,-0.80011,0.9999,0.0016704,3560.5767,42842688368.449,103373.347,0.021429,619.0133,395895.6541,5.7617,6.3991,5.4344e-06,4.6016,-0.79763,0.99991,0.0015091,3609.1603,47324271432.8779,104052.9132,0.021288,617.0915,395832.0969,5.8515,6.5002,5.3119e-06,4.623,-0.79909,0.99992,0.0013451,3840.1605,50175965709.5877,98657.4533,0.022193,595.2383,374237.0396,5.9573,6.615,5.1846e-06,4.6512,-0.8018,0.99994,75.dcm
0.0098262,5624.9136,28327368071.944,895306.9513,0.099449,1871.0818,3492231.9034,4.051,4.6392,4.6428e-05,3.3335,-0.71482,0.99767,0.0091115,6421.3609,30958992923.0719,889374.5372,0.094884,1863.6565,3465553.881,4.1543,4.7137,4.1681e-05,3.458,-0.7344,0.99823,0.0085662,9593.3648,33617183467.6737,882666.2931,0.089868,1850.0574,3419889.1548,4.2416,4.7745,3.7917e-05,3.5733,-0.75521,0.99868,0.0080463,10551.8591,36577340694.5783,873687.0611,0.086633,1838.9835,3381475.6327,4.3259,4.836,3.6139e-05,3.6294,-0.7722,0.999,0.0077959,11579.1049,37958516294.8031,868313.0282,0.084995,1830.9472,3354445.4227,4.3725,4.8673,3.4408e-05,3.6885,-0.78123,0.99913,0.0077053,12518.8279,38532463379.8473,865905.8926,0.084059,1826.4021,3340104.0317,4.3894,4.8788,3.3735e-05,3.7105,-0.78468,0.99918,118.dcm
0.0055879,979.8511,44075903616.4504,895351.7321,0.051382,1884.0532,3534556.2487,4.4885,5.2014,2.9175e-05,3.7144,-0.69092,0.99843,0.0033847,2891.3355,70855788322.5839,848632.0372,0.040795,1829.8811,3341815.8392,5.042,5.6998,1.9178e-05,4.1621,-0.74773,0.99952,0.0031255,3416.7447,77870345245.6715,841470.8114,0.038517,1820.9134,3309648.6996,5.1286,5.779,1.7795e-05,4.2352,-0.75976,0.99962,0.0029592,4122.1214,83052760636.4127,834803.7639,0.036733,1811.9143,3278456.015,5.1897,5.8332,1.6484e-05,4.316,-0.76768,0.99968,0.0028742,4546.2097,85185275464.446,830380.0621,0.036478,1805.7583,3257496.085,5.2293,5.862,1.5843e-05,4.3584,-0.76792,0.9997,0.0026746,5494.7124,93462542118.4298,816904.5474,0.035165,1789.3886,3202370.3373,5.3213,5.9334,1.4697e-05,4.4385,-0.78228,0.99978,134.dcm
0.039201,4531.0385,14919305472.1998,799563.1902,0.021643,1759.2308,3088706.8394,3.1648,3.2448,5.5664e-05,3.0131,-0.91927,0.99843,0.036352,4437.1339,16002247136.9205,794426.1765,0.020192,1753.9375,3070144.2468,3.2456,3.3198,5.1286e-05,3.0924,-0.92643,0.99866,0.026662,9606.7434,20522074175.6863,764106.1559,0.016413,1710.7171,2929134.957,3.5646,3.6285,3.8178e-05,3.3845,-0.93659,0.99922,0.023526,11912.0872,22587085790.8271,746549.1375,0.01467,1682.5407,2840037.3898,3.6887,3.7531,3.3656e-05,3.5164,-0.93912,0.99939,0.021503,11557.9255,24618229678.1662,732240.0618,0.013451,1670.6915,2800450.8976,3.7764,3.8428,3.141e-05,3.5911,-0.94366,0.9995,0.018347,14521.5273,27661266550.8239,702179.598,0.016087,1625.1455,2662461.2125,3.9443,4.001,2.6378e-05,3.7544,-0.94885,0.99964,143.dcm
0.25,16698.1875,362451806.3267,48963.7499,0.0025135,448.6875,220926.8334,1.3863,1.3863,0.00014172,1.3863,-1,0.96825,0.2,19889.85,429446244.9402,45366.1999,0.002032,437.15,213133.9087,1.6094,1.6094,0.00011331,1.6094,-1,0.9798,0.049013,8726.125,911380458.2532,23603.856,0.013463,312.9028,112915.9013,3.0094,3.0251,3.1337e-05,2.9271,-0.97755,0.99847,0.025731,5746.2543,1204302018.5892,16880.7053,0.01488,236.7363,76034.4078,3.6389,3.6721,1.8836e-05,3.4627,-0.98404,0.9996,0.025621,5714.3776,1205298526.6258,16803.5703,0.014761,235.5505,75592.3554,3.6443,3.6773,1.872e-05,3.4695,-0.98419,0.9996,0.025621,5714.3776,1205298526.6258,16803.5703,0.014761,235.5505,75592.3554,3.6443,3.6773,1.872e-05,3.4695,-0.98419,0.9996,175.dcm
0.125,3292.5625,632117891.8607,186564.6208,0.0073336,828.6875,686819.7975,2.0361,2.0794,0.00027166,2.0794,-1,0.99216,0.076923,5771.8269,935871966.8842,172105.8421,0.0050816,785.0962,620591.3323,2.5383,2.5649,0.0001653,2.5649,-1,0.99704,0.066667,6676.2667,1037617391.7467,165398.6627,0.0044477,766.8,594459.4618,2.6849,2.7081,0.00014261,2.7081,-1,0.99778,0.045455,7903.7273,1352226944.9371,144668.4054,0.0059631,718.9545,527105.6331,3.0753,3.091,0.00010025,3.0595,-0.9949,0.99893,0.043478,7977.6739,1397341540.4001,141571.5616,0.0057121,713.587,519676.4174,3.1204,3.1355,9.5489e-05,3.1054,-0.99519,0.99902,0.032292,8894.8391,1595426301.2881,120746.1331,0.012419,649.4693,443495.6605,3.4118,3.4335,7.2406e-05,3.3771,-0.98696,0.99943,179.dcm
1,23740.5,54620999.9989,78399.9993,0.000126,492.5,261740.5,-2.2204e-16,-2.2204e-16,0.0010893,-2.2204e-16,0,0,1,23740.5,54620999.9989,78399.9993,0.000126,492.5,261740.5,-2.2204e-16,-2.2204e-16,0.0010893,-2.2204e-16,0,0,1,23740.5,54620999.9989,78399.9993,0.000126,492.5,261740.5,-2.2204e-16,-2.2204e-16,0.0010893,-2.2204e-16,0,0,1,23740.5,54620999.9989,78399.9993,0.000126,492.5,261740.5,-2.2204e-16,-2.2204e-16,0.0010893,-2.2204e-16,0,0,1,23740.5,54620999.9989,78399.9993,0.000126,492.5,261740.5,-2.2204e-16,-2.2204e-16,0.0010893,-2.2204e-16,0,0,1,23740.5,54620999.9989,78399.9993,0.000126,492.5,261740.5,-2.2204e-16,-2.2204e-16,0.0010893,-2.2204e-16,0,0,184.dcm
0.16667,6600.2083,2853116443.7022,624284.3309,0.0029689,1526.4583,2329151.6597,1.7918,1.7918,0.00022111,1.734,-1,0.98601,0.16667,6600.2083,2853116443.7022,624284.3309,0.0029689,1526.4583,2329151.6597,1.7918,1.7918,0.00022111,1.734,-1,0.98601,0.076923,9013.5962,5358998320.223,570321.7669,0.0027305,1466.2885,2152866.11,2.5649,2.5649,0.00010063,2.5116,-0.95842,0.99633,0.045455,11530.3068,8227418268.3802,515312.4069,0.0020798,1389.5795,1942162.099,3.0753,3.091,5.7077e-05,3.0595,-0.9742,0.9987,0.038462,10686.3942,9094448038.9818,494282.9979,0.011458,1368.7596,1884676.2567,3.2314,3.2581,4.8642e-05,3.2181,-0.96658,0.99895,0.028571,14422.8286,10947763323.9163,448533.1694,0.0086281,1288.4143,1689502.0953,3.5256,3.5553,3.6731e-05,3.5021,-0.96591,0.9994,195.dcm
0.33333,9776.4167,564136876.9821,330665.6636,0.043158,1103.75,1222490.7703,1.0986,1.0986,0.00053849,1.0986,-1,0.94281,0.090909,11701.7045,2094495258.3845,344926.9969,0.017879,1104.25,1220788.43,2.3979,2.3979,0.00015166,2.3664,-1,0.99586,0.076923,10851.5192,2445787231.7931,332349.4585,0.015186,1095.3654,1201170.677,2.5649,2.5649,0.00012705,2.5383,-1,0.99704,0.033908,11773.5463,4038751442.1316,266470.5226,0.0080329,974.4853,963993.3807,3.3607,3.3842,6.0911e-05,3.2779,-0.96483,0.99918,0.029437,12096.4203,4486306483.9392,252598.2974,0.014657,958.4866,933561.6888,3.4956,3.5259,5.1617e-05,3.4332,-0.96203,0.99936,0.025353,12951.9498,5013933167.8013,235922.9432,0.012812,924.6927,876782.0426,3.6404,3.6756,4.592e-05,3.5519,-0.9688,0.99955,197.dcm
1,24753,115440983.9985,186623.998,8.3135e-05,837.5,725457,-2.2204e-16,-2.2204e-16,0.0015175,-2.2204e-16,0,0,1,24753,115440983.9985,186623.998,8.3135e-05,837.5,725457,-2.2204e-16,-2.2204e-16,0.0015175,-2.2204e-16,0,0,1,24753,115440983.9985,186623.998,8.3135e-05,837.5,725457,-2.2204e-16,-2.2204e-16,0.0015175,-2.2204e-16,0,0,0.5,22838.125,195585797.0997,152136.4982,0.00011286,766.875,614456.991,0.69315,0.69315,0.00075757,0.69315,-1,0.86603,0.14286,25017.4286,578322060.4279,155622.5696,0.00025344,705.7857,519173.2811,1.9459,1.9459,0.00023031,1.8964,-1,0.98974,0.037857,18534.9614,2866156169.701,174149.9053,0.0052781,824.9564,708523.7371,3.2107,3.2755,6.566e-05,3.155,-0.96765,0.99906,203.dcm
0.090909,4057.1136,6904675150.2281,788076.8162,0.0052424,1733.8409,3000955.1354,2.3664,2.3979,0.00011352,2.2719,-0.94599,0.9939,0.055556,3747.6667,11509347742.0724,758763.8869,0.0054197,1715,2935184.4948,2.8134,2.8904,7.1329e-05,2.7363,-0.97281,0.99797,0.018182,5588.7591,29052300134.9278,673795.9072,0.015269,1614.7227,2605714.3352,3.923,4.0073,2.6557e-05,3.7347,-0.95454,0.9997,0.015385,6434.8308,32543755475.259,652907.3982,0.01303,1586.3154,2518791.8922,4.0904,4.1744,2.2859e-05,3.8843,-0.94217,0.99976,0.013333,6631.8833,36791876640.8365,630860.9182,0.011502,1558.2433,2434424.5297,4.2337,4.3175,2.0302e-05,4.0014,-0.95134,0.99982,0.010753,7636.8038,45693573653.9909,621951.9229,0.0097394,1546.7769,2406975.5701,4.4189,4.5326,1.6939e-05,4.1825,-0.95576,0.99988,213.dcm
