Arearg1,MajorAxisLengthrg1,MinorAxisLengthrg1,Eccentricityrg1,ConvexArearg1,EquivDiameterrg1,Solidityrg1,Extentrg1,Perimeterrg1,ConvexPerimeterrg1,Circularityrg1,Roughnessrg1,Elongationrg1,Compactnessrg1,MaxChordLengthrg1,RadialDistanceSDrg1,SecondMomentrg1,Arearg2,MajorAxisLengthrg2,MinorAxisLengthrg2,Eccentricityrg2,ConvexArearg2,EquivDiameterrg2,Solidityrg2,Extentrg2,Perimeterrg2,ConvexPerimeterrg2,Circularityrg2,Roughnessrg2,Elongationrg2,Compactnessrg2,MaxChordLengthrg2,RadialDistanceSDrg2,SecondMomentrg2,Arearg3,MajorAxisLengthrg3,MinorAxisLengthrg3,Eccentricityrg3,ConvexArearg3,EquivDiameterrg3,Solidityrg3,Extentrg3,Perimeterrg3,ConvexPerimeterrg3,Circularityrg3,Roughnessrg3,Elongationrg3,Compactnessrg3,MaxChordLengthrg3,RadialDistanceSDrg3,SecondMomentrg3,Arearg4,MajorAxisLengthrg4,MinorAxisLengthrg4,Eccentricityrg4,ConvexArearg4,EquivDiameterrg4,Solidityrg4,Extentrg4,Perimeterrg4,ConvexPerimeterrg4,Circularityrg4,Roughnessrg4,Elongationrg4,Compactnessrg4,MaxChordLengthrg4,RadialDistanceSDrg4,SecondMomentrg4,Arearg5,MajorAxisLengthrg5,MinorAxisLengthrg5,Eccentricityrg5,ConvexArearg5,EquivDiameterrg5,Solidityrg5,Extentrg5,Perimeterrg5,ConvexPerimeterrg5,Circularityrg5,Roughnessrg5,Elongationrg5,Compactnessrg5,MaxChordLengthrg5,RadialDistanceSDrg5,SecondMomentrg5,Arearg6,MajorAxisLengthrg6,MinorAxisLengthrg6,Eccentricityrg6,ConvexArearg6,EquivDiameterrg6,Solidityrg6,Extentrg6,Perimeterrg6,ConvexPerimeterrg6,Circularityrg6,Roughnessrg6,Elongationrg6,Compactnessrg6,MaxChordLengthrg6,RadialDistanceSDrg6,SecondMomentrg6,ImageName
314.000000,27.463124,20.819141,0.652166,492.000000,19.994930,0.638211,0.386700,137.781746,86.258875,0.530313,0.626054,1.319129,4.811094,31.384710,2.925022,0.235866,595.000000,31.479530,28.018634,0.455846,703.000000,27.524126,0.846373,0.581055,150.610173,101.011208,0.732804,0.670680,1.123521,3.033764,33.837849,3.144296,0.186275,649.000000,31.314528,29.127175,0.367182,738.000000,28.745999,0.879404,0.614583,137.296465,102.602898,0.774703,0.747309,1.075097,2.311342,34.014703,2.790515,0.175879,687.000000,31.152543,29.741624,0.297540,752.000000,29.575591,0.913564,0.630854,114.568542,103.200646,0.810591,0.900776,1.047439,1.520422,34.176015,1.848814,0.168521,702.000000,31.213817,30.230542,0.249019,764.000000,29.896725,0.918848,0.644628,115.982756,103.807231,0.818638,0.895023,1.032526,1.524895,34.176015,1.787277,0.167870,714.000000,31.363369,30.559725,0.224924,776.000000,30.151170,0.920103,0.636364,116.325902,104.913019,0.815172,0.901889,1.026297,1.508151,34.713110,1.776422,0.167620,4.dcm
25.000000,10.724253,5.429647,0.862360,46.000000,5.641896,0.543478,0.284091,32.727922,27.879110,0.404196,0.851845,1.975129,3.409471,11.401754,1.339154,0.354560,136.000000,18.624137,15.590296,0.547047,233.000000,13.159049,0.583691,0.419753,95.840620,57.490548,0.517078,0.599856,1.194598,5.374653,19.697716,2.380226,0.269876,540.000000,36.059104,24.525874,0.733066,753.000000,26.221162,0.717131,0.553846,198.994949,107.047149,0.592180,0.537939,1.470247,5.835532,39.812058,4.079774,0.219804,612.000000,37.216212,25.588264,0.726130,814.000000,27.914559,0.751843,0.581197,199.681241,110.308494,0.632038,0.552423,1.454425,5.184576,40.718546,4.201521,0.208041,677.000000,37.318331,26.324196,0.708814,830.000000,29.359550,0.815663,0.642925,175.539105,110.513279,0.696578,0.629565,1.417644,3.622007,40.718546,3.734135,0.192296,759.000000,38.881929,26.953243,0.720738,850.000000,31.086795,0.892941,0.685637,147.396970,113.378920,0.741971,0.769208,1.442570,2.277852,42.544095,3.013386,0.184092,75.dcm
107.000000,12.878336,10.744983,0.551242,111.000000,11.672045,0.963964,0.685897,39.455844,38.426831,0.910593,0.973920,1.198544,1.157788,13.601471,0.497158,0.162757,115.000000,13.297949,11.180356,0.541411,120.000000,12.100518,0.958333,0.737179,40.627417,39.573438,0.922784,0.974057,1.189403,1.142170,13.601471,0.528061,0.162592,122.000000,13.665151,11.513715,0.538602,125.000000,12.463355,0.976000,0.782051,41.213203,40.560246,0.931898,0.984157,1.186859,1.107906,13.928388,0.505541,0.162211,131.000000,15.583511,11.186366,0.696215,141.000000,12.914890,0.929078,0.668367,46.627417,45.317567,0.801582,0.971908,1.393081,1.320692,17.204651,1.123101,0.174291,135.000000,15.872910,11.389020,0.696545,146.000000,13.110581,0.924658,0.642857,48.041631,45.863494,0.806509,0.954661,1.393703,1.360479,17.204651,1.170813,0.175459,137.000000,16.001200,11.445520,0.698826,147.000000,13.207340,0.931973,0.652381,48.041631,46.041639,0.812136,0.958370,1.398032,1.340618,17.204651,1.157831,0.175352,118.dcm
188.000000,17.909866,15.590382,0.492184,227.000000,15.471556,0.828194,0.650519,75.254834,57.696930,0.709680,0.766687,1.148777,2.397182,21.260292,1.821120,0.186555,307.000000,23.363342,17.499180,0.662568,342.000000,19.770800,0.897661,0.710648,82.911688,68.592232,0.819971,0.827293,1.335111,1.781900,24.698178,1.449886,0.172924,332.000000,24.308565,18.040551,0.670236,361.000000,20.560047,0.919668,0.698947,78.769553,70.643853,0.835986,0.896842,1.347440,1.487198,25.317978,1.451166,0.172007,350.000000,25.005371,18.479788,0.673669,378.000000,21.110041,0.925926,0.673077,80.426407,72.402293,0.839022,0.900230,1.353120,1.470684,26.172505,1.539336,0.172162,360.000000,25.209374,18.783482,0.666954,391.000000,21.409489,0.920716,0.692308,79.597980,73.257070,0.842972,0.920338,1.342103,1.400528,26.172505,1.497779,0.171122,386.000000,25.688181,19.599024,0.646447,410.000000,22.169133,0.941463,0.706960,79.840620,74.270704,0.879351,0.930237,1.310687,1.314167,26.172505,1.396029,0.168610,134.dcm
26.000000,6.755814,5.294484,0.621148,29.000000,5.753627,0.896552,0.742857,20.485281,19.803264,0.833124,0.966707,1.276010,1.284401,7.280110,0.487973,0.170687,28.000000,6.984322,5.606865,0.596277,32.000000,5.970821,0.875000,0.666667,21.313708,20.705481,0.820724,0.971463,1.245673,1.291071,7.280110,0.546974,0.173105,38.000000,7.786977,6.604940,0.529671,40.000000,6.955796,0.950000,0.678571,24.142136,23.562969,0.860069,0.976010,1.178963,1.220557,8.246211,0.463207,0.167098,43.000000,8.730817,6.724214,0.637838,48.000000,7.399277,0.895833,0.682540,26.142136,25.281973,0.845389,0.967097,1.298414,1.264747,9.219544,0.600086,0.172639,47.000000,9.422611,6.774493,0.695050,53.000000,7.735778,0.886792,0.671429,28.142136,26.925681,0.814656,0.956775,1.390895,1.340931,10.049876,0.685160,0.175549,55.000000,10.848035,6.809742,0.778423,58.000000,8.368284,0.948276,0.714286,30.142136,29.242801,0.808229,0.970164,1.593017,1.314545,11.180340,0.856005,0.183393,143.dcm
4.000000,3.651484,1.825742,0.866025,4.000000,2.256758,1.000000,0.666667,8.242641,8.064495,0.772886,0.978387,2.000000,1.351646,3.162278,0.397158,0.218750,5.000000,3.401960,2.780887,0.576018,5.000000,2.523133,1.000000,0.555556,9.656854,9.300563,0.726376,0.963105,1.223336,1.484197,3.162278,0.424533,0.208000,22.000000,7.996444,6.080418,0.649467,33.000000,5.292567,0.666667,0.611111,29.313708,21.927447,0.574985,0.748027,1.315114,3.108200,7.810250,0.759955,0.279113,50.000000,12.680949,8.519025,0.740735,76.000000,7.978846,0.657895,0.555556,46.142136,34.039530,0.542266,0.737710,1.488545,3.388563,12.806248,1.512716,0.288392,51.000000,12.723935,8.444721,0.748010,76.000000,8.058239,0.671053,0.566667,45.313708,34.039530,0.553112,0.751197,1.506733,3.203902,12.806248,1.485665,0.282531,51.000000,12.723935,8.444721,0.748010,76.000000,8.058239,0.671053,0.566667,45.313708,34.039530,0.553112,0.751197,1.506733,3.203902,12.806248,1.485665,0.282531,175.dcm
8.000000,3.925855,3.000722,0.644803,9.000000,3.191538,0.888889,0.666667,11.071068,10.892922,0.847249,0.983909,1.308303,1.219212,4.123106,0.391933,0.169922,13.000000,4.470371,3.856397,0.505790,13.000000,4.068429,1.000000,0.812500,13.071068,13.071068,0.956161,1.000000,1.159209,1.045849,4.472136,0.169457,0.154756,15.000000,4.760952,4.188874,0.475271,15.000000,4.370194,1.000000,0.937500,14.242641,14.242641,0.929223,1.000000,1.136571,1.076168,5.000000,0.249876,0.156444,22.000000,5.867218,4.987036,0.526810,22.000000,5.292567,1.000000,0.733333,17.313708,17.313708,0.922258,1.000000,1.176494,1.084296,6.082763,0.297466,0.160875,23.000000,6.123785,4.956669,0.587240,23.000000,5.411516,1.000000,0.766667,17.899495,17.721349,0.920331,0.990047,1.235464,1.108521,6.324555,0.313386,0.161420,32.000000,7.112442,5.909619,0.556445,33.000000,6.383076,0.969697,0.761905,21.313708,20.957417,0.915555,0.983283,1.203537,1.129687,7.280110,0.344561,0.161804,179.dcm
1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,184.dcm
6.000000,3.464102,2.309401,0.745356,6.000000,2.763953,1.000000,1.000000,8.828427,8.828427,0.967374,1.000000,1.500000,1.033726,3.162278,0.319151,0.152778,6.000000,3.464102,2.309401,0.745356,6.000000,2.763953,1.000000,1.000000,8.828427,8.828427,0.967374,1.000000,1.500000,1.033726,3.162278,0.319151,0.152778,13.000000,4.470371,3.856397,0.505790,13.000000,4.068429,1.000000,0.812500,13.071068,13.071068,0.956161,1.000000,1.159209,1.045849,4.472136,0.169457,0.154756,22.000000,5.867218,4.987036,0.526810,22.000000,5.292567,1.000000,0.733333,17.313708,17.313708,0.922258,1.000000,1.176494,1.084296,6.082763,0.297466,0.160875,26.000000,6.008541,5.757081,0.286268,27.000000,5.753627,0.962963,0.722222,19.313708,18.957417,0.909128,0.981552,1.043678,1.141690,6.324555,0.318921,0.160048,35.000000,6.892370,6.729365,0.216196,39.000000,6.675581,0.897436,0.714286,23.313708,22.244835,0.888832,0.954153,1.024223,1.235790,7.280110,0.322048,0.160933,195.dcm
3.000000,2.581989,1.763834,0.730297,3.000000,1.954410,1.000000,0.750000,6.242641,6.242641,0.967374,1.000000,1.463850,1.033726,2.236068,0.158166,0.148148,11.000000,7.422255,2.286851,0.951352,14.000000,3.742410,0.785714,0.611111,15.656854,15.113810,0.605138,0.965316,3.245622,1.773399,6.324555,0.818243,0.327573,13.000000,7.603545,2.638046,0.937884,16.000000,4.068429,0.812500,0.541667,17.071068,16.375870,0.609178,0.959276,2.882264,1.783890,6.708204,0.856253,0.298589,30.000000,9.575842,5.399684,0.825853,38.000000,6.180387,0.789474,0.535714,26.727922,24.030234,0.652853,0.899069,1.773408,1.894957,8.944272,1.093191,0.246222,35.000000,9.759271,5.909905,0.795793,44.000000,6.675581,0.795455,0.546875,28.142136,25.321276,0.685973,0.899764,1.651342,1.800679,9.433981,1.041208,0.227685,41.000000,9.925405,6.358757,0.767829,48.000000,7.225152,0.854167,0.640625,28.485281,26.556107,0.730575,0.932275,1.560903,1.574879,10.000000,1.015815,0.207745,197.dcm
1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,1.154701,1.154701,0.000000,1.000000,1.128379,1.000000,1.000000,3.544908,3.544908,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,2.000000,2.309401,1.154701,0.866025,2.000000,1.595769,1.000000,1.000000,6.077400,6.077400,0.680463,1.000000,2.000000,1.469589,2.000000,0.000000,0.125000,7.000000,5.773503,2.429972,0.907115,9.000000,2.985411,0.777778,0.437500,13.071068,12.485281,0.564302,0.955185,2.375955,1.942291,5.000000,0.779186,0.326531,28.000000,10.518949,8.175250,0.629263,51.000000,5.970821,0.549020,0.388889,40.627417,26.712065,0.493120,0.657489,1.286682,4.691055,9.486833,0.855553,0.390215,203.dcm
11.000000,6.737652,2.742014,0.913442,13.000000,3.742410,0.846154,0.440000,15.899495,14.957417,0.617859,0.940748,2.457191,1.828791,5.830952,0.775966,0.285500,18.000000,8.833368,3.188909,0.932563,22.000000,4.787307,0.818182,0.514286,19.899495,19.071068,0.621917,0.958369,2.770029,1.750660,8.062258,0.964094,0.296982,55.000000,12.838716,6.567437,0.859263,72.000000,8.368284,0.763889,0.604396,41.798990,33.081537,0.631540,0.791443,1.954905,2.527895,13.341664,1.308970,0.233292,65.000000,13.289911,7.112150,0.844754,82.000000,9.097284,0.792683,0.625000,42.384776,34.634036,0.680953,0.817134,1.868621,2.199361,13.341664,1.267196,0.215902,75.000000,13.821540,7.685326,0.831156,89.000000,9.772050,0.842697,0.641026,43.798990,35.849106,0.733355,0.818492,1.798432,2.035434,13.928388,1.284166,0.206194,93.000000,14.360852,8.671878,0.797094,104.000000,10.881695,0.894231,0.738095,42.384776,38.583224,0.785047,0.910309,1.656026,1.537188,14.866069,1.165614,0.187345,213.dcm
10.000000,4.815104,3.117922,0.762040,12.000000,3.568248,0.833333,0.625000,13.071068,12.640986,0.786408,0.967097,1.544331,1.359603,4.472136,0.517614,0.189000,151.000000,17.581984,13.358456,0.650179,200.000000,13.865755,0.755000,0.559259,71.840620,53.791548,0.655781,0.748762,1.316169,2.719903,19.235384,1.710609,0.200707,377.000000,30.008351,21.243850,0.706281,546.000000,21.909160,0.690476,0.480867,153.681241,90.133976,0.583142,0.586500,1.412566,4.985291,31.144823,3.054174,0.223663,439.000000,32.211501,22.828648,0.705499,643.000000,23.642169,0.682737,0.504598,153.095454,98.560897,0.567891,0.643787,1.411012,4.248643,36.400549,3.378714,0.221535,493.000000,33.316864,23.784430,0.700262,702.000000,25.054083,0.702279,0.466856,159.681241,102.757351,0.586720,0.643515,1.400785,4.115769,38.288379,3.447917,0.212100,518.000000,33.615751,24.072749,0.697982,715.000000,25.681474,0.724476,0.490530,166.752309,102.967168,0.613963,0.617486,1.396423,4.271733,38.288379,3.366549,0.205942,221.dcm
15.000000,7.921236,3.426792,0.901582,21.000000,4.370194,0.714286,0.468750,22.142136,18.586961,0.545613,0.839438,2.311560,2.600985,8.062258,0.960356,0.299259,49.000000,11.858834,7.256856,0.790907,70.000000,7.898654,0.700000,0.538462,45.213203,33.498602,0.548722,0.740903,1.634156,3.319897,13.038405,1.307189,0.243147,58.000000,11.715572,8.317390,0.704259,81.000000,8.593480,0.716049,0.495726,45.213203,35.071134,0.592568,0.775683,1.408564,2.804741,13.038405,1.199387,0.219576,94.000000,13.709311,11.138287,0.583015,133.000000,10.940042,0.706767,0.394958,62.183766,45.191097,0.578405,0.726735,1.230828,3.273530,17.117243,1.363836,0.205678,134.000000,26.663510,13.045190,0.872142,285.000000,13.061933,0.470175,0.323671,100.811183,65.762066,0.389371,0.652329,2.043934,6.035354,25.000000,3.803029,0.409726,142.000000,26.497488,13.317120,0.864530,290.000000,13.446190,0.489655,0.342995,101.740115,66.250559,0.406555,0.651174,1.989731,5.800778,25.000000,3.600637,0.385914,230.dcm
10.000000,4.815104,3.117922,0.762040,12.000000,3.568248,0.833333,0.625000,13.071068,12.640986,0.786408,0.967097,1.544331,1.359603,4.472136,0.517614,0.189000,151.000000,17.581984,13.358456,0.650179,200.000000,13.865755,0.755000,0.559259,71.840620,53.791548,0.655781,0.748762,1.316169,2.719903,19.235384,1.710609,0.200707,377.000000,30.008351,21.243850,0.706281,546.000000,21.909160,0.690476,0.480867,153.681241,90.133976,0.583142,0.586500,1.412566,4.985291,31.144823,3.054174,0.223663,439.000000,32.211501,22.828648,0.705499,643.000000,23.642169,0.682737,0.504598,153.095454,98.560897,0.567891,0.643787,1.411012,4.248643,36.400549,3.378714,0.221535,493.000000,33.316864,23.784430,0.700262,702.000000,25.054083,0.702279,0.466856,159.681241,102.757351,0.586720,0.643515,1.400785,4.115769,38.288379,3.447917,0.212100,518.000000,33.615751,24.072749,0.697982,715.000000,25.681474,0.724476,0.490530,166.752309,102.967168,0.613963,0.617486,1.396423,4.271733,38.288379,3.366549,0.205942,270.dcm
4.000000,3.435909,1.691507,0.870424,4.000000,2.256758,1.000000,0.666667,7.656854,7.656854,0.857372,1.000000,2.031270,1.166355,3.162278,0.356822,0.187500,8.000000,4.396969,2.708013,0.787839,8.000000,3.191538,1.000000,0.500000,11.313708,11.313708,0.785398,1.000000,1.623688,1.273240,4.123106,0.451348,0.187500,25.000000,6.333000,5.339042,0.537834,27.000000,5.641896,0.925926,0.694444,19.313708,18.883627,0.881006,0.977732,1.186168,1.187357,6.324555,0.408240,0.164864,25.000000,6.333000,5.339042,0.537834,27.000000,5.641896,0.925926,0.694444,19.313708,18.883627,0.881006,0.977732,1.186168,1.187357,6.324555,0.408240,0.164864,31.000000,7.260347,5.738837,0.612545,32.000000,6.282549,0.968750,0.645833,21.556349,21.333473,0.855950,0.989661,1.265125,1.192831,8.062258,0.431639,0.167299,33.000000,7.569444,5.772241,0.646904,34.000000,6.482045,0.970588,0.687500,22.142136,21.785844,0.873725,0.983909,1.311353,1.182266,8.062258,0.443733,0.166569,291.dcm
