fgMaxotsu1,fgMinotsu1,fgStdevotsu1,fgMeanotsu1,fgMedianotsu1,bgMaxotsu1,bgMinotsu1,bgStdevotsu1,bgMeanotsu1,bgMedianotsu1,fgMaxotsu2,fgMinotsu2,fgStdevotsu2,fgMeanotsu2,fgMedianotsu2,bgMaxotsu2,bgMinotsu2,bgStdevotsu2,bgMeanotsu2,bgMedianotsu2,fgMaxotsu3,fgMinotsu3,fgStdevotsu3,fgMeanotsu3,fgMedianotsu3,bgMaxotsu3,bgMinotsu3,bgStdevotsu3,bgMeanotsu3,bgMedianotsu3,fgMaxotsu4,fgMinotsu4,fgStdevotsu4,fgMeanotsu4,fgMedianotsu4,bgMaxotsu4,bgMinotsu4,bgStdevotsu4,bgMeanotsu4,bgMedianotsu4,ImageName
1245.000000,323.000000,274.893110,897.123839,1050.000000,320.000000,82.000000,52.794498,219.883772,220.000000,1245.000000,547.000000,187.202187,994.103545,1084.500000,542.000000,82.000000,110.879401,286.497041,258.500000,1245.000000,781.000000,97.355044,1073.127168,1103.000000,1001.000000,82.000000,191.184362,374.967157,312.000000,1245.000000,893.000000,47.590504,1112.919886,1117.000000,1093.000000,82.000000,262.871373,458.932316,384.000000,4.dcm
1245.000000,333.000000,268.444091,908.567696,1056.000000,329.000000,82.000000,53.542639,226.915068,227.000000,1245.000000,553.000000,184.026743,997.885446,1085.000000,548.000000,82.000000,111.247739,297.685613,273.000000,1245.000000,781.000000,97.167427,1073.364583,1103.500000,1040.000000,82.000000,197.204113,396.541885,347.000000,1245.000000,893.000000,47.590504,1112.919886,1117.000000,1093.000000,82.000000,266.085113,486.990312,417.000000,13.dcm
1245.000000,323.000000,273.573355,900.216680,1052.000000,320.000000,82.000000,50.926571,222.030457,221.000000,1245.000000,547.000000,186.517759,995.339570,1085.000000,542.000000,82.000000,111.433226,293.486842,262.500000,1245.000000,781.000000,97.355044,1073.127168,1103.000000,1049.000000,82.000000,193.021012,386.949507,336.500000,1245.000000,893.000000,47.590504,1112.919886,1117.000000,1093.000000,82.000000,264.063433,474.976483,409.000000,20.dcm
1245.000000,323.000000,272.116639,906.367494,1059.000000,320.000000,82.000000,53.386224,220.336538,222.500000,1245.000000,547.000000,185.928302,998.953200,1087.000000,542.000000,82.000000,111.849049,287.716828,260.000000,1245.000000,775.000000,96.812802,1074.000000,1104.000000,811.000000,82.000000,184.883953,371.889303,311.500000,1245.000000,893.000000,47.590504,1112.919886,1117.000000,1093.000000,82.000000,263.051895,461.472050,392.500000,29.dcm
1971.000000,193.000000,284.410264,475.103330,392.000000,342.000000,59.000000,44.220798,171.075988,169.000000,1971.000000,313.000000,339.753669,615.060538,472.000000,627.000000,59.000000,91.638093,259.657825,270.500000,1971.000000,615.000000,368.892612,1111.000000,1000.000000,627.000000,59.000000,122.546725,319.890009,326.000000,1971.000000,1062.000000,264.805968,1532.843750,1551.500000,1806.000000,59.000000,203.030556,360.486301,340.000000,45.dcm
2211.000000,193.000000,210.002016,407.956072,371.000000,438.000000,59.000000,46.492621,161.527711,156.000000,2211.000000,313.000000,261.325409,494.097368,438.000000,936.000000,59.000000,105.282627,241.081582,235.000000,2211.000000,471.000000,598.803606,1014.842105,748.500000,936.000000,59.000000,129.470432,299.068636,303.000000,2211.000000,649.000000,532.624437,1415.904762,1322.000000,936.000000,59.000000,131.346423,302.275685,306.000000,75.dcm
1102.000000,295.000000,262.631427,783.089552,890.000000,319.000000,105.000000,45.123755,223.756863,219.000000,1102.000000,484.000000,179.630462,894.872378,979.500000,599.000000,105.000000,96.365878,291.257143,272.500000,1102.000000,669.000000,97.694758,973.127473,1011.000000,708.000000,105.000000,153.059822,356.465549,321.000000,1102.000000,669.000000,55.582716,1015.988571,1032.500000,931.000000,105.000000,226.004382,433.954829,378.000000,91.dcm
1039.000000,263.000000,267.619976,664.496454,681.000000,259.000000,134.000000,35.041321,193.804348,192.000000,1039.000000,444.000000,187.765933,799.118812,847.000000,397.000000,134.000000,74.367141,254.627907,255.500000,1039.000000,698.000000,99.162299,910.318841,934.000000,691.000000,134.000000,154.686583,337.262712,303.500000,1039.000000,898.000000,40.156295,981.146341,994.000000,891.000000,134.000000,233.148392,427.273973,340.000000,95.dcm
1045.000000,172.000000,327.761877,750.622807,964.500000,217.000000,70.000000,29.106771,140.871795,145.000000,1045.000000,295.000000,203.181797,892.988827,1003.000000,475.000000,70.000000,60.670569,175.472441,169.000000,1045.000000,650.000000,87.334870,970.980132,1010.000000,649.000000,70.000000,135.294991,229.109677,181.000000,1045.000000,950.000000,19.327683,1010.000000,1014.000000,941.000000,70.000000,259.341402,331.229947,196.000000,99.dcm
1102.000000,327.000000,242.855120,821.866966,930.000000,322.000000,128.000000,45.464543,236.695906,234.000000,1102.000000,507.000000,169.184213,906.913357,983.500000,504.000000,128.000000,97.819416,307.251748,287.500000,1102.000000,669.000000,93.184731,977.064732,1013.000000,729.000000,128.000000,161.987937,389.232143,364.000000,1102.000000,669.000000,55.152974,1017.136232,1033.000000,939.000000,128.000000,235.808329,483.620202,439.000000,103.dcm
1045.000000,220.000000,267.842121,816.690909,969.000000,218.000000,99.000000,28.902414,166.057692,169.500000,1045.000000,403.000000,171.025975,905.202128,1001.500000,398.000000,99.000000,77.310695,215.821429,192.500000,1045.000000,745.000000,73.846552,973.403846,1009.000000,741.000000,99.000000,181.995632,314.275862,237.000000,1045.000000,955.000000,18.593605,1010.508475,1014.500000,950.000000,99.000000,284.855157,448.487013,364.000000,111.dcm
1039.000000,291.000000,259.865210,689.778626,728.000000,283.000000,134.000000,40.002061,212.676471,211.000000,1039.000000,491.000000,170.544607,823.691489,859.000000,478.000000,134.000000,83.716613,284.014085,292.000000,1039.000000,758.000000,82.842181,928.587302,944.000000,738.000000,134.000000,171.436299,383.245098,326.000000,1039.000000,931.000000,31.945291,990.888889,999.500000,926.000000,134.000000,243.579107,480.000000,393.000000,114.dcm
1045.000000,203.000000,297.261613,771.979424,937.000000,475.000000,70.000000,53.922744,160.636364,161.000000,1045.000000,361.000000,204.941008,873.985222,990.000000,475.000000,70.000000,66.102009,187.589928,176.000000,1045.000000,715.000000,82.346328,966.567901,1007.000000,713.000000,70.000000,156.320841,260.611111,197.500000,1045.000000,937.000000,22.077741,1008.245902,1014.000000,933.000000,70.000000,266.157928,365.854545,230.500000,118.dcm
