gabormean_0_0org1,gaborSD_0_0org1,gabormean_0_1org1,gaborSD_0_1org1,gabormean_0_2org1,gaborSD_0_2org1,gabormean_1_0org1,gaborSD_1_0org1,gabormean_1_1org1,gaborSD_1_1org1,gabormean_1_2org1,gaborSD_1_2org1,gabormean_2_0org1,gaborSD_2_0org1,gabormean_2_1org1,gaborSD_2_1org1,gabormean_2_2org1,gaborSD_2_2org1,gabormean_3_0org1,gaborSD_3_0org1,gabormean_3_1org1,gaborSD_3_1org1,gabormean_3_2org1,gaborSD_3_2org1,ImageName
27.980392,29.979720,12.651584,25.289099,187.730015,45.246099,56.104072,25.005009,75.668175,37.709996,54.013575,22.432540,23.518854,24.078218,13.223228,25.554721,186.911011,45.382492,49.719457,25.424666,82.822021,40.385959,46.819005,18.695779,1000.dcm
67.941176,52.442401,60.264706,68.677402,119.147059,55.890155,36.352941,39.408600,93.838235,55.624973,35.911765,39.124652,53.117647,60.656490,72.205882,77.430288,124.691176,53.604204,29.720588,23.855188,166.411765,42.645444,24.602941,22.446713,10001.dcm
60.775862,47.104230,46.620690,57.648611,130.155172,51.995547,33.482759,33.501632,95.879310,53.144648,32.603448,32.250630,53.810345,61.769934,71.568966,76.979631,134.431034,51.110514,24.482759,16.576501,172.620690,40.287488,21.206897,16.978582,10003.dcm
62.352941,62.704330,64.156863,69.988105,135.686275,50.993917,48.490196,31.604033,89.196078,54.505053,37.705882,32.332209,65.980392,65.809267,61.078431,73.982388,140.764706,47.514456,39.941176,28.381974,112.235294,35.877340,39.235294,31.970354,10006.dcm
49.083916,33.535245,22.531469,19.795363,140.237762,60.723566,92.419580,40.199224,100.888112,59.470801,76.454545,36.042566,64.531469,47.724238,26.391608,26.246404,141.377622,58.567020,61.622378,37.213091,93.069930,65.128870,38.930070,25.425575,10008.dcm
77.422680,56.738221,44.597938,39.284396,130.793814,52.892765,120.020619,59.361004,111.969072,65.578746,111.556701,46.988467,69.762887,58.072292,54.298969,66.309747,133.752577,51.295718,56.525773,31.932903,113.494845,58.040777,63.979381,33.103682,10011.dcm
59.649123,44.520053,35.201754,35.620214,149.859649,56.317507,125.605263,57.770008,95.166667,63.005115,115.228070,56.640933,65.105263,54.676097,43.868421,53.128582,145.350877,53.370136,88.570175,45.803344,108.087719,66.637384,54.140351,32.370881,10014.dcm
55.173913,39.757215,28.582609,27.864642,152.304348,59.242762,110.808696,52.356386,107.095652,64.240635,125.478261,58.385793,67.895652,53.021243,27.086957,35.545021,151.339130,55.729593,84.921739,48.111374,105.208696,64.723229,51.591304,30.204826,10017.dcm
109.952381,49.530455,98.642857,68.488141,121.214286,52.612961,132.000000,43.947863,77.523810,39.933016,123.119048,40.629319,74.166667,54.591126,45.000000,60.490677,141.452381,50.928071,127.761905,59.266578,138.357143,58.562796,81.357143,48.591790,10019.dcm
94.431818,49.522557,68.136364,66.336209,137.659091,52.536120,127.977273,36.032601,98.000000,39.375946,105.113636,39.575783,69.318182,52.864360,46.500000,59.151953,140.522727,50.419860,115.159091,53.053261,151.113636,61.007516,82.681818,52.761761,10020.dcm
126.302326,69.808764,89.372093,63.983265,139.465116,62.160832,137.976744,56.138641,129.651163,53.921408,108.790698,74.944601,102.139535,61.650544,79.906977,71.102479,143.860465,60.287636,107.372093,64.523537,129.837209,58.268643,76.906977,51.620785,10022.dcm
117.711538,68.000097,97.307692,70.082455,129.057692,68.388284,114.923077,57.819478,124.750000,54.463830,107.461538,76.271564,90.557692,59.398757,68.596154,58.437250,141.442308,61.938747,134.173077,67.314224,123.365385,56.756801,87.615385,49.152485,10024.dcm
113.414634,65.644488,93.317073,79.436276,123.365854,75.715836,100.390244,64.894098,97.731707,59.155737,77.853659,60.088918,52.780488,65.571912,44.804878,65.116902,125.487805,72.484523,134.829268,65.552995,136.243902,75.919622,114.024390,57.095310,10025.dcm
46.395062,52.728457,34.629630,41.579213,170.271605,49.876746,80.691358,56.875617,61.913580,61.605779,103.098765,50.428993,41.487654,50.716266,43.438272,54.324987,169.000000,51.637052,86.135802,52.689116,71.679012,65.489429,74.043210,42.408154,10030.dcm
56.741425,35.145076,65.957784,50.167321,144.649077,51.293334,94.899736,53.889074,54.514512,47.758726,85.205805,45.780820,96.374670,59.768309,61.844327,51.138514,146.007916,55.408798,96.443272,49.274781,72.142480,44.874909,99.720317,54.959927,10044.dcm
42.047904,49.089518,31.341317,40.517997,177.053892,48.272976,76.982036,61.302673,59.862275,62.865310,105.239521,55.113487,48.389222,52.778333,39.688623,42.635737,177.502994,49.053680,74.574850,51.485687,72.449102,66.140017,72.616766,41.918702,10053.dcm
54.970000,36.702124,76.573333,56.043801,144.173333,50.955584,84.170000,45.036007,57.423333,53.158790,85.956667,45.631300,64.956667,47.672813,42.313333,49.828755,148.033333,53.866479,92.550000,48.707449,76.250000,48.766807,81.696667,47.501361,10066.dcm
40.585366,40.646477,26.595122,34.147704,171.731707,49.097255,73.834146,54.209487,65.741463,59.167314,88.029268,44.642250,35.878049,36.822171,27.629268,28.282176,174.965854,49.931363,75.414634,49.966251,73.092683,63.068094,69.541463,39.909880,10078.dcm
47.559211,56.176724,41.539474,53.411793,175.256579,50.797937,78.730263,59.139074,58.789474,60.450257,105.414474,49.780504,53.315789,56.870996,42.000000,47.628251,175.967105,50.611547,74.973684,48.186991,67.861842,62.819520,73.657895,40.688301,10085.dcm
36.250814,25.275585,27.120521,26.133427,149.429967,59.441773,113.524430,57.280658,97.830619,52.449951,98.798046,50.175622,77.000000,46.740348,53.491857,51.781805,149.661238,58.024864,103.495114,59.201239,92.726384,56.666984,97.980456,53.113391,10097.dcm
